Course Names,descriptions,prereq,Breadth requirements,distribution requirements
PHL239H1 - Introduction to South Asian Philosophy,"An introduction to the main schools, thinkers, and topics in the philosophical thought of the Sanskrit world, covering various topics, from epistemology to philosophy of religion. Students will get acquainted with one of the world's richest philosophical traditions and its challenges.",,"Thought, Belief and Behaviour (2)",Humanities
"PHL240H1 - Persons, Minds and Bodies",Consciousness and its relation to the body; personal identity and survival; knowledge of other minds; psychological events and behaviour.,,"Thought, Belief and Behaviour (2)",Humanities
PHL243H1 - Philosophy of Human Sexuality,"Philosophical issues about sex and sexual identity in the light of biological, psychological and ethical theories of sex and gender; the concept of gender; male and female sex roles; perverse sex; sexual liberation; love and sexuality.",,"Thought, Belief and Behaviour (2)",Humanities
PHL244H1 - Human Nature,"Aspects of human nature, e.g., emotion, instincts, motivation. Theories of human nature, e.g., behaviourism, psychoanalysis.",,"Thought, Belief and Behaviour (2)",Humanities
PHL245H1 - Modern Symbolic Logic,"An introduction to formal deductive logic. Semantics, symbolization, and techniques of natural deduction in sentential logic. Symbolization, natural deduction, and models in monadic predicate logic. Symbolization and natural deduction with polyadic predicates. Introduction to advanced concepts in first-order logic, such as operations, identity, and models.",,"Thought, Belief and Behaviour (2)",
PHL246H1 - Probability and Inductive Logic,"The elements of axiomatic probability theory and its main interpretations (frequency, logical, and subjective). Reasoning with probabilities in decision-making and science.",,"Thought, Belief and Behaviour (2)",Humanities
PHL255H1 - Philosophy of Science,"This course is an introduction to contemporary topics in the philosophy of science which serves as preparation for more advanced study in general philosophy of science and philosophy of the particular sciences. Topics may include the rise and fall of logical positivism, the problem of demarcation, falsificationism, confirmation, the connection between theory and observation, the value free ideal, and the epistemic authority of scientists.",,The Physical and Mathematical Universes (5),Science
PHL256H1 - Philosophy in the Age of the Internet,"The internet and digital technology have had a transformative impact on the economy, society and politics, art and culture, and everyday life. This course explores the fascinating, often urgent, new philosophical questions raised by these changes as well as the way they invite a rethinking of many older philosophical questions. Topics to be addressed may include artificial intelligence and the singularity; identity through social media; digital ownership and privacy; and collective/distributed knowledge its relation to information, among others.",,"Thought, Belief and Behaviour (2)",Humanities
PHL265H1 - Introduction to Political Philosophy,"An introduction to central issues in political philosophy, e.g., political and social justice, liberty and the criteria of good government. The writings of contemporary political philosophers, as well as major figures in the history of philosophy, may be considered.",,Society and its Institutions (3),Humanities
PHL268H1 - Philosophy and Social Criticism,"Is the objective of philosophy to understand and interpret the world, or to change it? A study of theorists who have taken philosophy to be a tool for social criticism. Topics studied may include feminism, critical race theory, anti-consumerism, the critique of mass society, and conservative cultural criticism.",,Society and its Institutions (3),Humanities
PHL271H1 - Law and Morality,"Justifications for the legal enforcement of morality; particular ethical issues arising out of the intersection of law and morality, such as punishment, freedom of expression and censorship, autonomy and paternalism, constitutional protection of human rights.",,Society and its Institutions (3),Humanities
PHL273H1 - Environmental Ethics,"A study of environmental issues raising questions of concern to moral and political philosophers, such as property rights, responsibility for future generations, and the interaction of human beings with the rest of nature. Typical issues: sustainable development, alternative energy, the preservation of wilderness areas, animal rights.",,Society and its Institutions (3),Humanities
PHL275H1 - Introduction to Ethics,"An introduction to central issues in ethics or moral philosophy, such as the objectivity of values, the nature of moral judgements, rights and duties, the virtues, and consequentialism. Readings may be drawn from a variety of contemporary and historical sources.",,"Thought, Belief and Behaviour (2)",Humanities
PHL281H1 - Bioethics,"An introduction to the study of moral and legal problems in medical practice and in biomedical research; the development of health policy. Topics include: concepts of health and disease, patient rights, informed consent, allocation of scarce resources, euthanasia, abortion, genetic and reproductive technologies, human research, and mental health.",,Society and its Institutions (3),Humanities
PHL285H1 - Aesthetics,"An historical and systematic introduction to the main questions in the philosophy of art and beauty from Plato to the present. These include the relation between art and beauty, the nature of aesthetic experience, definitions and theories of art, the criteria of excellence in the arts, and the function of art criticism.",,Creative and Cultural Representations (1),Humanities
PHL295H1 - Business Ethics,"Philosophical issues in ethics, social theory, and theories of human nature insofar as they bear on contemporary conduct of business. Issues include: Does business have moral responsibilities? Can social costs and benefits be calculated? Does modern business life determine human nature or the other way around? Do political ideas and institutions such as democracy have a role within business?",,Society and its Institutions (3),Humanities
PHL299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,Humanities
PHL301H1 - Early Greek Philosophy,"A study of selected Greek philosophers before Plato. Topics may include the Pre-Socratic natural philosophers, Parmenides and the Eleatics, and the so-called sophistic movement.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL302H1 - Ancient Philosophy After Aristotle,"A study of selected themes in post-Aristotelian philosophy. Topics may include Stoicism, Epicureanism, Neoplatonism, and various forms of scepticism.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL303H1 - Plato,"Selected metaphysical, epistemological, and ethical themes in Plato’s dialogues.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL304H1 - Aristotle,"Selected anthropological, ethical and metaphysical themes in the works of Aristotle.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL307H1 - Augustine,"Central themes in St. Augustine's Christian philosophy, such as the problem of evil, the interior way to God, the goal of human life and the meaning of history.","PHL200Y1/PHL205H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL308H1 - Aquinas,"Philosophical innovations that St. Thomas Aquinas made in the course of constructing a systematic theology: essence and existence, the Five Ways, separate intelligences, the human soul and ethics.","PHL200Y1/PHL205H1/PHL206H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL309H1 - Topics in Medieval Philosophy,"Study of a major philosophical figure from the medieval period, such as Anselm, Abelard, Bonaventure, Maimonides, Avicenna, Duns Scotus, William of Ockham; or consideration of a central philosophical topic in a variety of medieval authors, for example, universals, individuation, the existence of God, free will and free choice, eternity and creation.","PHL200Y1/PHL205H1/PHL206H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL310H1 - The Rationalists,"Central philosophical problems in philosophers such as Descartes, Spinoza, Leibniz, and their contemporaries.","PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL311H1 - The Empiricists,"Central philosophical problems in philosophers such as Locke, Berkeley, Hume, and their contemporaries.","PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL313H1 - Topics in 17th and 18th Century Philosophy,Central philosophical problems arising in the early modern period.,"PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL314H1 - Kant,A systematic study of The Critique of Pure Reason.,"PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL315H1 - Topics in 19th-Century Philosophy,Central philosophical problems arising in the 19th century.,"PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL316H1 - Hegel,"An examination of Hegel's project of absolute knowing, its philosophical assumptions, and its implications for history, science and experience.","PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL317H1 - Marx and Marxism,"An examination of some of the leading themes in the philosophy of Karl Marx. Developments of Marxist philosophy by later thinkers, and critics of Marxism, may also be considered.",7.5 courses (in any field) with at least 1.5 in philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL319H1 - Philosophy and Psychoanalytic Theory,"A study of the fundamentals of psychoanalytic theory from a philosophical perspective, focusing on the works of Freud and others. Topics include mind (conscious and unconscious), instinctual drives, mechanisms of defence, the structure of personality, civilization, the nature of conscience, and the status of psychoanalysis.",,"Thought, Belief and Behaviour (2)",Humanities
PHL320H1 - Phenomenology,"Phenomenology is a method used in the analysis of human awareness and subjectivity. It has been applied in the social sciences, in the humanities, and in philosophy. Texts studied are from Husserl and later practitioners, e.g., Heidegger, Sartre, Merleau-Ponty, Gurwitsch, and Ricoeur.","PHL210Y1/PHL217H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL321H1 - Heidegger,"Some work from the 1920s (either Being and Time or contemporary lectures) and selections from Heidegger's later work on poetry, technology, and history are studied. Heidegger's position within phenomenology and within the broader history of thought is charted.","PHL217H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL322H1 - Contemporary Continental Philosophy,"German and French philosophy after World War II, focusing on such topics as: debates about humanism, hermeneutics, critical theory, the structuralist movement, its successors such as deconstruction. Typical authors: Heidegger, Gadamer, Habermas, Levi-Strauss, Foucault, Derrida.","PHL217H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL323H1 - Social and Cultural Theory,"A study of philosophical approaches to understanding various aspects of contemporary culture and/or society. Topics may include theories of modernity, capitalism and consumerism, architecture and design, cultural pluralism, globalization, media and internet.",7.5 courses (in any field) with at least 1.5 in philosophy,Society and its Institutions (3),Humanities
PHL325H1 - Early Analytic Philosophy,"An examination of some of the classic texts of early analytic philosophy, concentrating on the work of Frege, Russell, and Wittgenstein.","PHL245H1/MAT157Y1 and one of PHL232H1/PHL233H1/PHL240H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL331H1 - Metaphysics,"Historical and systematic approaches to topics in metaphysics, such as the nature of reality, substance and existence, necessity and possibility, causality, universals and particulars.","7.5 credits with at least 1.5 PHL credits, including (PHL245H1/MAT157Y1), (PHL232H1/PHL233H1/PHL240H1)","Thought, Belief and Behaviour (2)",Humanities
PHL332H1 - Epistemology,"Historical and systematic approaches to topics in the theory of knowledge, such as truth, belief, justification, perception, a priori knowledge, certitude, skepticism, other minds.","PHL232H1/PHL233H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL333H1 - Puzzles and Paradoxes,"Time travel, truth, infinity, rational decision making: each of these topics gives rise to philosophical puzzles and paradoxes. In this class we'll consider a variety of such paradoxes. Using logic and other philosophical tools, we'll show how these paradoxes can lead to deep and important philosophical conclusions.","7.5 credits, with at least 1.5 credits in philosophy, PHL245H1/​MAT157Y1","Thought, Belief and Behaviour (2)",Humanities
PHL334H1 - Mind and Language in Chinese Thought,"Issues in the philosophy of mind and language played a crucial role in the philosophical discourse of classical China. This course will guide students in reconstructing this role and exploring its philosophical significance by interpreting and critically evaluating selected early Chinese philosophical texts that treat mind, language, and interrelated aspects of psychology. Topics to be discussed include the nature and functions of names and speech; the role of “correcting names”; semantic theory and argumentation; perception and knowledge; the role of language in knowledge and action; and the ontological grounds of linguistic distinctions. Texts to be discussed include the Analects, Guǎnzǐ, Mòzǐ, Mèngzǐ, Dàodéjīng, Xúnzǐ, Zhuāngzǐ, and Annals of Mr. Lǚ.","7.5 credits, with at least 1.5 PHL credits including PHL237H1","Thought, Belief and Behaviour (2)",Humanities
PHL335H1 - Issues in Philosophy of Religion,"Some specific problem(s) in the philosophy of religion, such as the relationship of religious faith and religious belief, the ontological argument for the existence of God, theories about divine transcendence, the philosophical presuppositions of religious doctrines, the modern critique of religion.",7.5 courses (in any field) with at least 1.5 in philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL336H1 - Islamic Philosophy,"An introduction to the major thinkers in classical Islamic philosophy, with emphasis placed on developing a properly philosophical understanding of the issues and arguments. Topics include the existence of God; creation and causality; human nature and knowledge; the nature of ethical obligations; and the constitution of the ideal political state.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL337H1 - Classical Chinese Ethics,"This course explores and critiques personal and social ethical ideals as presented in early Chinese Confucian, Mohist, and Daoist writings and considers their relevance to issues in contemporary ethics. Major texts discussed include the Analects, Mèngzǐ, Xúnzǐ, Mòzǐ, Dàodéjīng, and Zhuāngzǐ. Central questions examined include: What is the way (dào)? What standards can guide us in following the way? What grounds can we have for confidence that these are the correct standards? What kind of person should we strive to be? What is virtue (dé)? What values take priority in a life of virtue? How does the person of virtue act?","7.5 credits, with at least 1.5 PHL credits including PHL237H1","Thought, Belief and Behaviour (2)",Humanities
PHL338H1 - Jewish Philosophy,"A selection of texts and issues in Jewish philosophy, for example, Maimonides' Guide of the Perplexed, Buber's The Prophetic Faith, prophecy and revelation, Divine Command and morality, creation and eternity, the historical dimension of Jewish thought.",7.5 courses (in any field) with at least 1.5 in philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL339H1 - Topics in South Asian Philosophy,An intermediate level study of one or more topics in South Asian Philosophy.,7.5 credits (in any field) with at least 1.5 credits in Philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL340H1 - Issues in Philosophy of Mind,Typical issues include: the mind-brain identity theory; intentionality and the mental; personal identity.,"One of COG250Y1/PHL240H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
"PHL341H1 - Freedom, Responsibility, and Human Action","Human action, and the nature of freedom and responsibility in the light of contemporary knowledge concerning the causation of behaviour.","PHL210Y1/PHL232H1/PHL233H1/PHL240H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL342H1 - Minds and Machines,Topics include: philosophical foundations of artificial intelligence theory; the computational theory of the mind; functionalism vs. reductionism; the problems of meaning in the philosophy of mind.,7.5 courses (in any field) including COG250Y1 or at least 1.5 in philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL344H1 - Philosophy of Emotions,"A survey of philosophical topics related to the emotions, from a range of philosophical perspectives. Questions to be considered may include the following: What exactly is an emotion? Are emotions feelings? What emotions are there, and how are they shaped by culture and society? How are emotions related to reason, the brain and the body? What role do -- and should -- the emotions play in decision-making? Can an emotion be morally right or wrong, and what makes it so?","PHL240H1/PHL244H1/PHL342H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL345H1 - Intermediate Logic,"A continuation of PHL245H1, requiring no other prior knowledge of philosophy or mathematics. First-order logic, including basic metalogical results such as soundness and completeness. An introduction to basic set theory and metalogic. Topics may include the Loewenheim-Skolem theorems for first-order logic, Goedel’s incompleteness theorems.",PHL245H1/MAT157Y1 and a full course in PHL/CSC/MAT,"Thought, Belief and Behaviour (2)",Humanities
PHL347H1 - Modal Logic and Philosophical Applications of Logic,"Formal study of the concepts of necessity and possibility, modal, propositional and quantificational logic, possible-worlds semantics, and the metaphysics of modality. Other topics may include counterfactuals, truth, vagueness, epistemic logic, temporal logic, or non-classical logic.",PHL245H1/MAT157Y1 and a full course in PHL/CSC/MAT,"Thought, Belief and Behaviour (2)",Humanities
PHL348H1 - Logic and Computation,"Topics will include Kurt Gödel's celebrated incompleteness theorems, the technical ideas and methods involved in proving them, their relation to the abstract theory of computation, and their philosophical implications. Are there mathematical truths that cannot be known? Are mathematical concepts such as number and set indeterminate to some extent? Are there limits to what can be modeled formally?",PHL245H1/MAT157Y1 and a full course in PHL/CSC/MAT,"Thought, Belief and Behaviour (2)",Humanities
PHL349H1 - Set Theory,"An introduction to set theory emphasizing its philosophical relevance as a unifying framework for mathematics and logic. Topics examined may include the paradoxes of the 'naïve' conception of sets and their resolution through axiomatization, the construction of natural numbers and real numbers in set theory, equivalents of the axiom of choice, and model theory.",PHL245H1/MAT157Y1 and a full course in PHL/CSC/MAT,"Thought, Belief and Behaviour (2)",Humanities
PHL351H1 - Philosophy of Language,"The nature of language as a system of human communication, theories of meaning and meaningfulness, the relation of language to the world and to the human mind.","PHL245H1/MAT157Y1 and one of PHL232H1/PHL233H1/PHL240H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL354H1 - Philosophy of Mathematics,"Platonism versus nominalism, the relation between logic and mathematics, implications of Gödel's theorem, formalism and intuitionism.",PHL245H1/MAT157Y1 and a full course in PHL/CSC/MAT,"Thought, Belief and Behaviour (2)",Humanities
PHL355H1 - Philosophy of Natural Science,"The structure and methods of science: explanation, methodology, realism and instrumentalism.",7.5 courses (in any field) with at least 1.5 in philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL356H1 - Philosophy of Physics,"Introduction to philosophical issues which arise in modern physics, especially in relativity and quantum mechanics. This course will be accessible to students without a significant background in physics, but with an interest in the philosophical challenges that modern physics poses.",One full course in MAT/PHY; two full courses are recommended.,The Physical and Mathematical Universes (5),Science
PHL357H1 - Philosophy of Biology,"Philosophical issues in the foundations of biology, e.g., the nature of life, evolutionary theory; controversies about natural selection; competing mechanisms, units of selection; the place of teleology in biology; biological puzzles about sex and sexual reproduction; the problem of species; genetics and reductionism; sociobiology; natural and artificial life.",7.5 courses (in any field) with at least 1.5 in philosophy. Students with a background in Biology are exempt from the prerequisite of 1.5 courses in Philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL362H1 - Philosophy of History,Typical questions include: Has history any meaning? Can there be general theories of history? How are the findings of historians related to the theories of metaphysics and of science? Is history deterministic? Must the historian make value judgements? Is history science or an art? Are there historical forces or spirits of an epoch?,7.5 courses (in any field) with at least 1.5 in philosophy,"Thought, Belief and Behaviour (2)",Humanities
PHL365H1 - Political Philosophy,"A study of some of the central problems of political philosophy, addressed by historical and contemporary political theorists.","PHL265H1/POL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL366H1 - Topics in Political Philosophy,A focused examination of a selected issue in political philosophy.,"PHL265H1/POL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL367H1 - Philosophy of Feminism,Selected issues and topics in the philosophy of feminism.,"PHL265H1/PHL268H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL370H1 - Issues in Philosophy of Law,"Major issues in philosophy of law, such as legal positivism and its critics, law and liberalism, feminist critiques of law, punishment and responsibility.","PHL271H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL373H1 - Issues in Environmental Ethics,"An intermediate-level examination of key issues in environmental philosophy, such as the ethics of animal welfare, duties to future generations, deep ecology, ecofeminism, sustainable development and international justice.","PHL273H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL375H1 - Ethics,"An intermediate-level study of selected issues in moral philosophy, or of influential contemporary or historical works in ethical theory.","PHL275H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL376H1 - Topics in Moral Philosophy,A focused examination of a selected issue in moral philosophy.,"PHL275H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL377H1 - Ethical Issues in Big Data,"An introduction to the ethical dimensions arising in the practice of statistics and data science, including moral puzzles, problems and dilemmas that arise in the application of machine learning and artificial intelligence to every day decision making in politics, business, and ordinary life.","7.5 credits, including 1.5 PHL credits and a 0.5 credit from STA221H1/STA238H1/STA248H1/STA255H1/STA261H1","Thought, Belief and Behaviour (2)",
PHL378H1 - War and Morality,"Moral and political issues concerning warfare: the theory of the just war, pacifism, moral constraints on the conduct of war, war as an instrument of foreign policy, the strategy of deterrence. Special attention to the implications of nuclear weapons.","PHL265H1/PHL275H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL380H1 - Global Bioethics,"An intermediate-level study of moral problems that arise in international contexts, including issues of special interest in bioethics: moral universalism and relativism; global distributive justice; poverty relief and international aid; international health disparities; globalization and health; HIV/AIDS; intellectual property and access to essential medicines; clinical trials in developing countries; exploitation and the 10/90 gap.","PHL281H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL381H1 - Ethics and Medical Research,"An intermediate-level study of problems in biomedical and behavioural research with human subjects: informed voluntary consent, risk and benefit, experimental therapy, randomized clinical trials, research codes and legal issues, dependent groups (human embryos, children, the aged, hospital patients, the dying, prisoners, the mentally ill.","PHL281H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL382H1 - Ethics: Death and Dying,"An intermediate-level study of moral and legal problems, including the philosophical significance of death, the high-tech prolongation of life, definition and determination of death, suicide, active and passive euthanasia, the withholding of treatment, palliative care and the control of pain, living wills; recent judicial decisions.","PHL281H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
PHL383H1 - Ethics and Mental Health,"An intermediate-level study of moral and legal problems, including the concepts of mental health and illness, mental competence, dangerousness and psychiatric confidentiality, mental institutionalization, involuntary treatment and behaviour control, controversial therapies; legal issues: the Mental Health Act, involuntary commitment, the insanity defence.","PHL281H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
"PHL384H1 - Ethics, Genetics and Reproduction","An intermediate-level study of moral and legal problems, including the ontological and moral status of the human embryo and fetus; human newborn, carrier and prenatal genetic screening for genetic defect, genetic therapy; the reproductive technologies (e.g., artificial insemination, in vitro fertilization); recent legislative proposals and judicial decisions.","PHL281H1, 7.5 courses (in any field) with at least 1.5 in philosophy","Thought, Belief and Behaviour (2)",Humanities
