Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
CSC207H1 - Software Design,"An introduction to software design and development concepts, methods, and tools using a statically-typed object-oriented programming language such as Java. Topics from: version control, unit testing, refactoring, object-oriented design and development, design patterns, advanced IDE usage, regular expressions, and reflection. Representation of floating-point numbers and introduction to numerical computation.",60% or higher in CSC148H1/ 60% or higher in CSC111H1,,The Physical and Mathematical Universes (5),Science
CSC209H1 - Software Tools and Systems Programming,"Software techniques in a Unix-style environment, using scripting languages and a machine-oriented programming language (typically C). What goes on in the operating system when programs are executed. Core topics: creating and using software tools, pipes and filters, file processing, shell programming, processes, system calls, signals, basic network programming.",CSC207H1/ CSC207H5/ CSCB07H3,,The Physical and Mathematical Universes (5),Science
CSC236H1 - Introduction to the Theory of Computation,The application of logic and proof techniques to Computer Science. Mathematical induction; correctness proofs for iterative and recursive algorithms; recurrence equations and their solutions; introduction to automata and formal languages. This course assumes university-level experience with proof techniques and algorithmic complexity as provided by CSC165H1. Very strong students who already have this experience (e.g. successful completion of MAT157Y1) may consult the undergraduate office about proceeding directly into CSC236H1 or CSC240H1.,"(60% or higher in CSC148H1, 60% or higher in CSC165H1) / (60% or higher in CSC111H1)",,The Physical and Mathematical Universes (5),Science
CSC240H1 - Enriched Introduction to the Theory of Computation,"The rigorous application of logic and proof techniques to Computer Science. Propositional and predicate logic; mathematical induction and other basic proof techniques; correctness proofs for iterative and recursive algorithms; recurrence equations and their solutions (including the Master Theorem); introduction to automata and formal languages. This course covers the same topics as CSC236H1, together with selected material from CSC165H1, but at a faster pace, in greater depth and with more rigour, and with more challenging assignments. Greater emphasis will be placed on proofs and theoretical analysis. Certain topics briefly mentioned in CSC165H1 or CSC236H1 may be covered in more detail in this course, and some additional topics may also be covered.|NOTES:",,,The Physical and Mathematical Universes (5),Science
CSC258H1 - Computer Organization,"Computer structures, machine languages, instruction execution, addressing techniques, and digital representation of data. Computer system organization, memory storage devices, and microprogramming. Block diagram circuit realizations of memory, control and arithmetic functions. There are a number of laboratory periods in which students conduct experiments with digital logic circuits.","(60% or higher in (CSC148H1/CSC148H5/CSCA48H3), 60% or higher in (CSC165H1/CSC240H1/MAT102H5/MATA67H3/ CSCA67H3)) / 60% or higher in CSC111H1",,The Physical and Mathematical Universes (5),Science
CSC263H1 - Data Structures and Analysis,"Algorithm analysis: worst-case, average-case, and amortized complexity. Expected worst-case complexity, randomized quicksort and selection. Standard abstract data types, such as graphs, dictionaries, priority queues, and disjoint sets. A variety of data structures for implementing these abstract data types, such as balanced search trees, hashing, heaps, and disjoint forests. Design and comparison of data structures. Introduction to lower bounds.",CSC236H1/ ​CSC240H1/ CSC236H5/ CSCB36H3/ APS105H1/ APS106H1/ ESC180H1; STA237H1/ STA247H1/ ​STA255H1/ ​STA257H1/ STAB57H3/ STAB52H3/ ECE302H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1,,The Physical and Mathematical Universes (5),Science
CSC265H1 - Enriched Data Structures and Analysis,"This course covers the same topics as CSC263H1, but at a faster pace, in greater depth and with more rigour, and with more challenging assignments. Greater emphasis will be placed on proofs, theoretical analysis, and creative problem-solving. Certain topics briefly mentioned in CSC263H1 may be covered in more detail in this course, and some additional topics may also be covered. Students without the exact course prerequisites but with a strong mathematical background are encouraged to consult the Department about the possibility of taking this course.|NOTE: Students may go to their college to drop down from CSC265H1 to CSC263H1. See the department website for drop down deadlines.",CSC240H1 or an A- in CSC236H1,,The Physical and Mathematical Universes (5),Science
CSC299H1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,,
CSC299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,,
CSC300H1 - Computers and Society,"This course offers a concise introduction to ethics in computing, distilled from the ethical and social discussions carried on by today's academic and popular commentators. This course covers a wide range of topics within this area including the philosophical framework for analyzing computer ethics; the impact of computer technology on security, privacy and intellectual property, digital divide, and gender and racial discrimination; the ethical tensions with Artificial Intelligence around future of work and humanity, the emerging role of online social media over voice, inclusion, and democracy; and the environmental consequences of computing.",Any CSC half course.,,Society and its Institutions (3),Science
CSC301H1 - Introduction to Software Engineering,"An introduction to agile development methods appropriate for medium-sized teams and rapidly-moving projects. Basic software development infrastructure; requirements elicitation and tracking; estimation and prioritization; teamwork skills; basic UML; design patterns and refactoring; security, discussion of ethical issues, and professional responsibility.","CSC209H1, CSC263H1/CSC265H1",,The Physical and Mathematical Universes (5),Science
CSC302H1 - Engineering Large Software Systems,"An introduction to the theory and practice of large-scale software system design, development, and deployment. Project management; advanced UML; reverse engineering; requirements inspection; verification and validation; software architecture; performance modelling and analysis.",CSC301H1,,The Physical and Mathematical Universes (5),Science
CSC303H1 - Social and Information Networks,"A course on how networks underlie the social, technological, and natural worlds, with an emphasis on developing intuitions for broadly applicable concepts in network analysis. Topics include: introductions to graph theory, network concepts, and game theory; social networks; information networks; the aggregate behaviour of markets and crowds; network dynamics; information diffusion; popular concepts such as ""six degrees of separation,"" the ""friendship paradox,"" and the ""wisdom of crowds.""","CSC263H1/ CSC265H1/ CSC263H5/ CSCB63H3, STA247H1/ STA255H1/ STA257H1/ ECO227Y1/ STA237H1/ STAB52H3/ STAB57H3, MAT221H1/ MAT223H1/ MAT240H1",,The Physical and Mathematical Universes (5),Science
CSC304H1 - Algorithmic Game Theory and Mechanism Design,"A mathematical and computational introduction to game theory and mechanism design. Analysis of equilibria in games and computation of price of anarchy. Design and analysis mechanisms with monetary transfers (such as auctions). Design and analysis of mechanisms without monetary transfers (such as voting and matching). This course is intended for economics, mathematics, and computer science students.","STA247H1/STA255H1/STA257H1/STA237H1/PSY201H1/ECO227Y1, (MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",,The Physical and Mathematical Universes (5),Science
CSC309H1 - Programming on the Web,"An introduction to software development on the web. Concepts underlying the development of programs that operate on the web; survey of technological alternatives; greater depth on some technologies. Operational concepts of the internet and the web, static client content, dynamic client content, dynamically served content, n-tiered architectures, web development processes, and security on the web. Assignments involve increasingly more complex web-based programs. Guest lecturers from leading e-commerce firms will describe the architecture and operation of their web sites.","CSC209H1/ CSC209H5/ CSCB09H3/ ESC180H1/ ESC190H1/ CSC190H1/ (APS105H1, ECE244H1)",,The Physical and Mathematical Universes (5),Science
CSC311H1 - Introduction to Machine Learning,"An introduction to methods for automated learning of relationships on the basis of empirical data. Classification and regression using nearest neighbour methods, decision trees, linear models, and neural networks. Clustering algorithms. Problems of overfitting and of assessing accuracy. Basics of reinforcement learning.","CSC207H1/ APS105H1/ APS106H1/ ESC180H1/ CSC180H1; MAT235Y1/​ MAT237Y1/​ MAT257Y1/​ (minimum of 77% in MAT135H1 and MAT136H1)/ (minimum of 73% in MAT137Y1)/ (minimum of 67% in MAT157Y1)/ MAT291H1/ MAT294H1/ (minimum of 77% in MAT186H1, MAT187H1)/ (minimum of 73% in MAT194H1, MAT195H1)/ (minimum of 73% in ESC194H1, ESC195H1); MAT221H1/​ MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1; STA237H1/ STA247H1/ STA255H1/ STA257H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1",CSC411H1,The Physical and Mathematical Universes (5),Science
CSC317H1 - Computer Graphics,"Identification and characterization of the objects manipulated in computer graphics, the operations possible on these objects, efficient algorithms to perform these operations, and interfaces to transform one type of object to another. Display devices, display data structures and procedures, graphical input, object modelling, transformations, illumination models, primary and secondary light effects; graphics packages and systems. Students, individually or in teams, implement graphical algorithms or entire graphics systems.","MAT235Y1/ MAT237Y1/ MAT257Y1/ MAT291H1/ MAT292H1/ MAT294H1/  (MAT232H5, MAT368H5)/ (MAT232H5, MAT368H5) / (MAT233H5, MAT236H5) / (MATB41H3, MATB42H3); 
MAT221H1/ MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1; 
CSC209H1/ CSC209H5/ CSCB09H3/ proficiency in C or C++/ APS105H1/ ESC180H1/ CSC180H1",CSC418H1,The Physical and Mathematical Universes (5),Science
CSC318H1 - The Design of Interactive Computational Media,"User-centred design of interactive systems; methodologies, principles, and metaphors; task analysis. Interdisciplinary design; the role of graphic design, industrial design, and the behavioural sciences. Interactive hardware and software; concepts from computer graphics. Typography, layout, colour, sound, video, gesture, and usability enhancements. Classes of interactive graphical media; direct manipulation systems, extensible systems, rapid prototyping tools. Students work on projects in interdisciplinary teams.",Any CSC half-course/ ESC180H1/ ESC190H1/ APS105H1/ APS106H1,,The Physical and Mathematical Universes (5),Science
CSC320H1 - Introduction to Visual Computing,"Image synthesis and image analysis aimed at students with an interest in computer graphics, computer vision, or the visual arts. Focus on three major topics: (1) visual computing principles—computational and mathematical methods for creating, capturing, analyzing, and manipulating digital photographs (image acquisition, basic image processing, image warping, anti-aliasing); (2) digital special effects—applying these principles to create special effects found in movies and commercials; (3) visual programming—using C/C++ and OpenGL to create graphical user interfaces for synthesizing and manipulating photographs. The course requires the ability to use differential calculus in several variables and linear algebra.","CSC209H1/( CSC207H1, proficiency in C or C++)/  CSC209H5/  CSCB09H3/  ESC190H1/  ECE244H1;  MAT221H1/ MAT223H1/ MAT240H1/ MAT185H1/  MAT188H1, ( MAT136H1 with a minimum mark of 77)/( MAT137Y1 with a minimum mark of 73)/( MAT157Y1 with a minimum mark of 67)/ MAT235Y1/ MAT237Y1/ MAT257Y1/  MAT291H1/  MAT292H1",,The Physical and Mathematical Universes (5),Science
CSC324H1 - Principles of Programming Languages,"Programming principles common in modern languages; details of commonly used paradigms. The structure and meaning of code. Scope, control flow, datatypes, and parameter passing. Two non-procedural, non-object-oriented programming paradigms: functional programming (illustrated by languages such as Lisp/Scheme, ML or Haskell) and logic programming (typically illustrated in Prolog).",CSC263H1/CSC265H1,,The Physical and Mathematical Universes (5),Science
CSC336H1 - Numerical Methods,"The study of computational methods for solving problems in linear algebra, non-linear equations, and approximation. The aim is to give students a basic understanding of both floating-point arithmetic and the implementation of algorithms used to solve numerical problems, as well as a familiarity with current numerical computing environments.","CSC148H1/CSC111H1; MAT133Y1(70%)/(MAT135H1, MAT136H1)/MAT135Y1/MAT137Y1/MAT157Y1, MAT221H1/MAT223H1/MAT240H1",,The Physical and Mathematical Universes (5),Science
CSC343H1 - Introduction to Databases,"Introduction to database management systems. The relational data model. Relational algebra. Querying and updating databases: the query language SQL. Application programming with SQL. Integrity constraints, normal forms, and database design. Elements of database system technology: query processing, transaction management.","CSC111H1/ CSC165H1/ ​CSC240H1/ ​(MAT135H1, MAT136H1)/ MAT135Y1/ MAT137Y1/ ​MAT157Y1/ (MAT186H1, MAT187H1)/ (MAT194H1, MAT195H1)/ (ESC194H1, ESC195H1); CSC207H1/ CSC207H5/ CSCB07H3/ ECE345H1/ ESC190H1",,The Physical and Mathematical Universes (5),Science
CSC367H1 - Parallel Programming,"Introduction to aspects of parallel programming. Topics include computer instruction execution, instruction-level parallelism, memory system performance, task and data parallelism, parallel models (shared memory, message passing), synchronization, scalability and Amdahl's law, Flynn taxonomy, vector processing and parallel computing architectures.",CSC258H1/ CSC258H5/ CSCB58H3; CSC209H1/ CSC209H5/ CSCB09H3,,The Physical and Mathematical Universes (5),Science
CSC369H1 - Operating Systems,"Principles of operating systems. The operating system as a control program and as a resource allocator. The concept of a process and concurrency problems: synchronization, mutual exclusion, deadlock. Additional topics include memory management, file systems, process scheduling, threads, and protection.",CSC209H1/ CSC209H5/ CSCB09H3;  CSC258H1/ CSC258H5/ CSCB58H3,,The Physical and Mathematical Universes (5),Science
"CSC373H1 - Algorithm Design, Analysis & Complexity","Standard algorithm design techniques: divide-and-conquer, greedy strategies, dynamic programming, linear programming, randomization, network flows, approximation algorithms. Brief introduction to NP-completeness: polynomial time reductions, examples of various NP-complete problems, self-reducibility. Additional topics may include approximation and randomized algorithms. Students will be expected to show good design principles and adequate skills at reasoning about the correctness and complexity of algorithms.",CSC263H1/ CSC265H1 / CSC263H5/ CSCB63H3,,The Physical and Mathematical Universes (5),Science
CSC384H1 - Introduction to Artificial Intelligence,"Theories and algorithms that capture (or approximate) some of the core elements of computational intelligence. Topics include: search; logical representations and reasoning, classical automated planning, representing and reasoning with uncertainty, learning, decision making (planning) under uncertainty. Assignments provide practical experience, in both theory and programming, of the core topics.","(CSC263H1/​ CSC265H1/ CSC263H5/ CSCC63H3/ ECE345H1/ ECE358H1/ MIE335H1, STA237H1/ STA247H1/​ STA255H1/​ STA257H1/ STA237H1/ STAB57H3/ STAB52H3/ ECE302H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1)",,The Physical and Mathematical Universes (5),Science
CSC385H1 - Microprocessor Systems,"Microprocessor and embedded systems: Software techniques for real-time task creation and management. Connected device charachteristics and the hardware and software ramifications. System construction and management. An examination of the issues unique to or particulaly important to embedded computing. Laboratory experiments provide ""hands on"" experience. An open team project is done in the last few laboratory sessions.",CSC258H1; CSC209H1/proficiency in C,,The Physical and Mathematical Universes (5),Science
CSC396Y0 - Designing Systems for Real World Problems,"This Summer Abroad special offering provides students with an opportunity to explore new environments, which improves their ability to see their own world with increased sensitivity and germinates new design ideas. In this course, students will identify a real problem in the world and work in groups on projects addressing this problem. Students will explore their problem space and the people within that space, identify needs, constraints, and requirements, and ultimately design solutions. Their designs will be iterated by gathering feedback and conducting usability testing on the early prototypes. The course projects will culminate with development of a technological solution that addresses the identified problem. Final project presentations will take place at the end of the course. This course can be counted as 0.5 FCE at the 300-level for Computer Science program completion.","Any CSC half course, and balloting",,The Physical and Mathematical Universes (5),Science
CSC398H0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,,
CSC398Y0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,,,
CSC399H1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,,
CSC399Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,,
CSC401H1 - Natural Language Computing,"Introduction to techniques involving natural language processing and speech in applications such as information retrieval, speech recognition and synthesis, machine translation, summarization, and dialogue. N-grams, corpus analysis, neural methods, and information theory. Python and other software.",CSC207H1/ CSC209H1/ CSC207H5/ CSCB07H3/ CSC209H5/ CSCB09H3/ APS105H1/ APS106H1/ ESC180H1/ CSC180H1; STA237H1/ STA247H1/​ STA255H1/ ​STA257H1/ STAB57H3/ STAB52H3/ ECE302H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1,,The Physical and Mathematical Universes (5),Science
CSC404H1 - Introduction to Video Game Design,"Concepts and techniques for the design and development of electronic games. History, social issues, and story elements. The business of game development and game promotion. Software engineering, artificial intelligence, and graphics elements. Level and model design. Audio elements. Practical assignments leading to team implementation of a complete game.",CSC301H1/CSC317H1/CSC318H1/CSC384H1/CSC417H1/CSC418H1/CSC419H1,,Creative and Cultural Representations (1),Science
CSC410H1 - Software Testing and Verification,"Concepts and state-of-the-art techniques in quality assessment for software engineering; quality attributes; formal specifications and their analysis; testing, verification, and validation.","CSC207H1, CSC236H1/CSC240H1",,The Physical and Mathematical Universes (5),Science
CSC412H1 - Probabilistic Learning and Reasoning,An introduction to probability as a means of representing and reasoning with uncertain knowledge. Qualitative and quantitative specification of probability distributions using probabilistic graphical models. Algorithms for inference and probabilistic reasoning with graphical models. Statistical approaches and algorithms for learning probability models from empirical data. Applications of these models in artificial intelligence and machine learning.,CSC311H1/ CSC411H1/ STA314H1/ ECE421H1/ ROB313H1/ CSCC11H3/CSC311H5,,The Physical and Mathematical Universes (5),Science
CSC413H1 - Neural Networks and Deep Learning,An introduction to neural networks and deep learning. Backpropagation and automatic differentiation. Architectures: convolutional networks and recurrent neural networks. Methods for improving optimization and generalization. Neural networks for unsupervised and reinforcement learning.,"CSC311H1/​ CSC311H5/ CSCC11H3/ CSC411H1/ STA314H1/ ECE421H1/ ROB313H1/; MAT235Y1/​ MAT237Y1/​ MAT257Y1/ MAT257Y5/ MAT291H1/ MAT294H1/ AER210H1/ (MAT232H5, MAT236H5)/ (MAT233H5, MAT236H5)/ (MATB41H3, MATB42H3); 
MAT221H1/ MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1/ MAT223H5/ MATA23H3",CSC321H1/CSC421H1,The Physical and Mathematical Universes (5),Science
CSC417H1 - Physics-Based Animation,"This course is designed to introduce students to the field of physics-based animation by exposing them to the underlying mathematical and algorithmic techniques required to understand and develop efficient numerical simulations of physical phenomena such as rigid bodies, deformable bodies and fluids. Topics covered include rigid body simulation, elasticity simulation, cloth simulation, collision detection and resolution and fluid simulation. Along the way, we will explore the underlying mathematics of ordinary differential equations, discrete time integration, finite element methods and more.Students should have a strong background in Linear Algebra and Multivariate Calculus.",MAT235Y1/ MAT237Y1/ MAT257Y1/ MAT291H1/ MAT294H1; MAT221H1/ ​MAT223H1/​ MAT240H1/ MAT185H1/ MAT188H1; CSC209H1/ ​proficiency in C or C++/ APS105H1/ ESC180H1/ CSC180H1,,The Physical and Mathematical Universes (5),Science
CSC419H1 - Geometry Processing,"Extending traditional signal processing, geometry processing interprets three-dimensional curves and surfaces as signals. Just as audio and image signal data can be filtered, denoised and decomposed spectrally, so can the geometry of a three-dimensional curve or surface. The course covers algorithms and mathematics behind fundamental operations for interpreting and manipulating geometric data. These essential tools enable: geometric modeling for computer aided design, life-like animations for computer graphics, reliable physical simulations, and robust scene representations for computer vision. Topics include: discrete curves and surfaces, curvature computation, surface reconstruction from point clouds, surface smoothing and denoising, parameterization, symmetry detection, and animation.",MAT235Y1/ MAT237Y1/ MAT257Y1/ MAT291H1/ MAT294H1; MAT221H1/ MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1; CSC209H1/ proficiency in C or C++/ APS105H1/ ESC180H1/ CSC180H1,,The Physical and Mathematical Universes (5),Science
CSC420H1 - Introduction to Image Understanding,Introduction to basic concepts in computer vision. Extraction of image features at multiple scales. Robust estimation of model parameters. Multiview geometry and reconstruction. Image motion estimation and tracking. Object recognition. Topics in scene understanding as time permits.,"CSC263H1/ CSC265H1/ ECE345H1/ ECE358H1/ MIE335H1; (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1/ (MAT186H1, MAT187H1)/ (MAT194H1, MAT195H1)/ (ESC194H1, ESC195H1); MAT221H1/ MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1",,The Physical and Mathematical Universes (5),Science
CSC428H1 - Human-Computer Interaction,"Understanding human behaviour as it applies to user interfaces: work activity analysis, observational techniques, questionnaire administration, and unobtrusive measures. Operating parameters of the human cognitive system, task analysis and cognitive modelling techniques and their application to designing interfaces. Interface representations and prototyping tools. Cognitive walkthroughs, usability studies and verbal protocol analysis. Case studies of specific user interfaces.",CSC318H1; STA237H1/ STA247H1/ ​STA255H1/ ​STA257H1/ ECE302H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1; CSC209H1/​ proficiency in C or C++ or Java/ APS105H1/ ESC180H1/ CSC180H1,,The Physical and Mathematical Universes (5),Science
CSC436H1 - Numerical Algorithms,"Numerical algorithms for the algebraic eigenvalue problem, approximation, integration, and the solution of ordinary differential equations. Emphasis is on the convergence, stability, and efficiency properties of the algorithms.",CSC336H1/CSC350H1,,The Physical and Mathematical Universes (5),Science
CSC438H1 - Computability and Logic,"Computable functions, Church's thesis, unsolvable problems, recursively enumerable sets. Predicate calculus, including the completeness, compactness, and Lowenheim-Skolem theorems. Formal theories and the Gödel Incompleteness Theorem. Ordinarily offered in years alternating with CSC448H1.",(CSC363H1/CSC463H1)/CSC365H1/CSC373H1/CSC375H1/MAT247H1,,The Physical and Mathematical Universes (5),Science
CSC443H1 - Database System Technology,"Implementation of database management systems. Storage management, indexing, query processing, concurrency control, transaction management. Database systems on parallel and distributed architectures. Modern database applications: data mining, data warehousing, OLAP, data on the web. Object-oriented and object-relational databases.","CSC343H1, CSC369H1, CSC373H1/CSC375H1",,The Physical and Mathematical Universes (5),Science
CSC446H1 - Computational Methods for Partial Differential Equations,"Finite Difference and Finite Element methods for boundary value problems including 2-point boundary value problems and 2-dimensional problems. Convergence of methods. Efficiency of the solution of linear systems. Finite difference methods for initial value problems. Consistency, stability and convergence. Method of lines. Special topics of interest among domain decomposition, multigrid, FFT solvers. Ordinarily offered in years alternating with CSC466H1.",CSC351H1/(CSC336H1 (75%))/equivalent mathematical background; MAT237Y1/MAT257Y1; APM346H1/MAT351Y1/(MAT244H1/MAT267H1 and exposure to PDEs),,The Physical and Mathematical Universes (5),Science
CSC448H1 - Formal Languages and Automata,"Regular, deterministic, context free, context sensitive, and recursively enumerable languages via generative grammars and corresponding automata (finite state machines, push down machines, and Turing machines). Topics include complexity bounds for recognition, language decision problems and operations on languages. Ordinarily offered in years alternating with CSC438H1.","CSC236H1/CSC240H1, CSC263H1/CSC265H1",,The Physical and Mathematical Universes (5),Science
CSC454H1 - The Business of Software,"Designed and delivered by industry experts in successful commercialization of tech startups, this course focuses on the development of a viable business and startup in partnership and mentorship from industry businesses and entrepreneurs.|The course is designed to be taken by students from any faculty or discipline. It focuses on helping them understand and develop business sense, introduce modern customer development, and teach skills in product development, financial management, marketing, and leadership. Alongside the software engineering abilities of CSC491H1 teammates, skills learned in CSC454H1 will aid the development of a viable startup.|For more details visit our website at https://www.dcsil.ca/student-courses.|Not eligible for CR/NCR option.",2.5 credits at the 300-level or higher,,The Physical and Mathematical Universes (5),Science
CSC456H1 - High-Performance Scientific Computing,"Computationally-intensive applications in science and engineering are implemented on the fastest computers available, today composed of many processors operating in parallel. Parallel computer architectures; implementation of numerical algorithms on parallel architectures; performance evaluation. Topics from: matrix-vector product, solution of linear systems, sparse matrices, iterative methods, domain decomposition, Fourier solvers. For students in computer science, applied mathematics, science, engineering. Ordinarily offered in years alternating with CSC446H1.","CSC436H1/(CSC336H1 (75%))/equivalent mathematical background; CSC209H1/proficiency in C, C++, or Fortran",,The Physical and Mathematical Universes (5),Science
