Course Names,descriptions,prereq,Breadth requirements,distribution requirements
MGY377H1 - Microbiology I: Bacteria,"An in depth study of bacteria including their structure, their biology, their ability to adapt, and their effects on human health. Provides a foundation for advanced studies in bacterial physiology, bacterial genetics, molecular pathogenesis of disease, immunology, and environmental studies.","BCH210H1/BCH242Y1, BIO120H1, BIO230H1/BIO255H1",Living Things and Their Environment (4),Science
MGY378H1 - Microbiology II: Viruses,"Detailed study of viruses in terms of structure, classification, replication and interaction with the host. Basis for advanced study in virology. Requires some familiarity with molecular and cellular biology. A concurrent course in immunology (IMM340H1, IMM350H1) or (IMM341H1, IMM351H1) is recommended.","BCH210H1/BCH242Y1; BIO120H1, BIO230H1/BIO255H1; BIO260H1/HMB265H1",Living Things and Their Environment (4),Science
MGY380H1 - Microbiology Laboratory I: Bacteria,"A laboratory course in bacteriology. Students will perform a variety of genetic and biochemical experiments to identify and characterize unknown organisms, and learn how bacteria live together in biofilm and become resistance to antibiotics. Students will also learn important research tools and concepts including CRISPRi, transduction, and conjugation through experiments. Valuable not only for advanced work in microbiology but also in related fields that make use of bacteria and bacteriophages as research tools. (Lab Materials Fee: $25; Lab Manual Fee: $20)","BIO120H1, BIO230H1/BIO255H1, HMB265H1/BIO260H1",Living Things and Their Environment (4),Science
MGY381H1 - Microbiology Laboratory II: Viruses,"Hands-on experiments provide the opportunity to develop skills in working safely with human viruses. Important concepts are learned through analysis of results. Topics include propagation and assay of viruses, examination of viruses by electron microscopy, replication kinetics, host response to infection and viral vectors. Valuable not only in microbiology but in fields using viruses as vectors. (Lab Materials Fee: $25; Lab Manual Fee: $20)","BIO120H1, BIO230H1/BIO255H1, HMB265H1/BIO260H1, MGY380H1",Living Things and Their Environment (4),Science
MGY399Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,
MGY420H1 - Regulation of Gene Expression,"Regulatory mechanisms controlling gene expression in eukaryotes; students will read, discuss, and present the primary research literature in class. Topics include: assembly of the initiation complex; roles of transcription factors, co-activators and cis-acting regulatory elements; promoter escape; mechanisms that control elongation, termination and anti-termination of transcription; chromatin control of transcription.",BCH311H1/CSB349H1/MGY311Y1,Living Things and Their Environment (4),Science
MGY425H1 - Signal Transduction and Cell Cycle Regulation,"This course presents and integrates molecular aspects of signal transduction and cell cycle regulation in eukaryotic cells from yeast to humans. Emphasis is on recent advances in growth factor receptor signalling, modular protein domains, and the recurrent role of protein phosphorylation and protein-protein interactions in cell regulation.",BCH311H1/MGY311Y1,Living Things and Their Environment (4),Science
MGY428H1 - Functional Genomics,"A broad-ranging course that covers many aspects of genomics and functional genomics, which is the discipline of defining and attributing function to all of the heritable material of an organism on a genome-wide scale, as applied to invertebrates and vertebrates. The primary and review literature will be the basis of all lectures.",BCH210H1/BCH242Y1; BIO260H1/HMB265H1; MGY311Y1/CSB349H1/BCH311H1,Living Things and Their Environment (4),Science
MGY440H1 - Virus-Host Interactions,"Analysis of virus/host interactions at the molecular level with a view to understanding how viruses cause disease. Course material is based on recent research publications. Topics will be selected from two or three themes that may include virus entry, intracellular trafficking, activation of host cell signaling pathways in response to infection, assembly and release of progeny virus, viral and host determinants of tissue tropism within the host and virus transmission between hosts.",BCH311H1/ CSB349H1/  MGY311Y1;  CSB351Y1/ MGY378H1,Living Things and Their Environment (4),Science
MGY460H1 - Genetic Analysis of Development,"Basic and advanced principles of genetic analysis applied to the study of the best-understood eukaryotic model organisms including the nematode worm Caenorhabditis elegans, the zebrafish, and the laboratory mouse. We emphasize the use of genetic approaches to address problems in cell biology and development, such as the regulation of cell fate and tissue development. Much of the knowledge gained from these experimentally tractable organisms has proven broadly applicable, and the same principles of developmental genetic analysis underlie efforts to understand the development of humans.","BIO260H1/HMB265H1, MGY311Y1/CSB349H1/BCH311H1",Living Things and Their Environment (4),Science
MGY470H1 - Human and Molecular Genetics,"Current aspects of human and molecular genetics including: chromosome structure and function, inheritance of mutations and disease, the human genome and disease gene mapping, cancer genetics, mouse disease models and gene based diagnostics and therapies.",BCH311H1/MGY311Y1 (Note: CSB349H1 is acceptable with permission of the instructor),Living Things and Their Environment (4),Science
MGY480Y1 - Special Research Project,An opportunity for specialized individual research in molecular genetics and microbiology by arrangement with the course coordinator. Students are required to perform an original research project and attend relevant research seminars. Not eligible for CR/NCR option.,"( MGY314H1/ MGY315H1/ MGY379Y1/ MGY380H1/ MGY381H1), ( MGY311Y1/ BCH311H1/ CSB349H1)",Living Things and Their Environment (4),Science
MGY481H1 - Independent Research Project,This course provides an opportunity for individual research with a specific topic of study. Students are mentored and supervised by research scientists and faculty associated with the University of Toronto. It provides students an opportunity to enhance and apply their knowledge and understanding learned in other courses. Not eligible for CR/NCR option.,"(MGY314H1/MGY315H1/MGY379Y1/MGY380H1/MGY381H1), (MGY311Y1/BCH311H1/CSB349H1)",Living Things and Their Environment (4),Science
MGY482H1 - Independent Research Project,This course provides an opportunity for individual research with a specific topic of study. Students are mentored and supervised by research scientists and faculty associated with the University of Toronto. It provides students an opportunity to enhance and apply their knowledge and understanding learned in other courses. Not eligible for CR/NCR option.,"(MGY314H1/MGY315H1/MGY379Y1/MGY380H1/MGY381H1), (MGY311Y1/BCH311H1/CSB349H1)",Living Things and Their Environment (4),
MIJ485H1 - Vaccines and Immunity,"Analysis of the strategies used by pathogenic microbes to evade specific and innate immune responses, and the strategies used to combat infectious disease using vaccines, with an emphasis on molecular and immunological aspects. Special topics include: molecular basis of pathogenicity and immune-evasion strategies; vaccination strategies; challenges to vaccine implementation (given jointly by the Departments of Molecular Genetics and Immunology).","(IMM340H1/IMM341H1), (IMM350H1/IMM351H1), MGY377H1, MGY378H1",Living Things and Their Environment (4),Science
