Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
"STA237H1 - Probability, Statistics and Data Analysis I","An introduction to probability using simulation and mathematical frameworks, with emphasis on the probability needed for more advanced study in statistical practice. Topics covered include probability spaces, random variables, discrete and continuous probability distributions, probability mass, density, and distribution functions, expectation and variance, independence, conditional probability, the law of large numbers, the central limit theorem, sampling distributions. Computer simulation will be taught and used extensively for calculations and to guide the theoretical development.","(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1/(MATA30H3, MATA36H3)/(MATA31H3, MATA37H3)/(MAT135H5, MAT136H5)/MAT137Y5/MAT157Y5",,The Physical and Mathematical Universes (5),Science
"STA238H1 - Probability, Statistics and Data Analysis II","An introduction to statistical inference and practice. Statistical models and parameters, estimators of parameters and their statistical properties, methods of estimation, confidence intervals, hypothesis testing, likelihood function, the linear model. Use of statistical computation for data analysis and simulation.",STA237H1/STA247H1/STA257H1/STAB52H3/STA256H5,,The Physical and Mathematical Universes (5),Science
STA247H1 - Probability with Computer Applications,"An introduction to probability using simulation and mathematical frameworks, with emphasis on the probability needed for computer science applications and more advanced study in statistical practice. Topics covered include probability spaces, random variables, discrete and continuous probability distributions, probability mass, density, and distribution functions, expectation and variance, independence, conditional probability, the law of large numbers, the central limit theorem, sampling distributions. Computer simulation will be taught and used extensively for calculations and to guide the theoretical development.","(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1/(MATA30H3, MATA36H3)/(MATA31H3, MATA37H3)/(MAT135H5, MAT136H5)/MAT137Y5/MAT157Y5; CSC111H1/CSC148H1/CSCA48H3/CSC148H5",,The Physical and Mathematical Universes (5),
STA248H1 - Statistics for Computer Scientists,"An introduction to statistical inference and practice needed for computer science applications. Statistical models and parameters, estimators of parameters and their statistical properties, methods of estimation, confidence intervals, hypothesis testing, likelihood function, the linear model. Use of statistical computation for data analysis and simulation.",STA237H1/STA247H1/STA257H1/STA256H5/STAB52H3; CSC111H1/CSC148H1/CSCA48H3/CSC148H5,,The Physical and Mathematical Universes (5),
STA255H1 - Statistical Theory,"This courses deals with the mathematical aspects of some of the topics discussed in STA220H1. Topics include discrete and continuous probability distributions, conditional probability, expectation, sampling distributions, estimation and testing, the linear model (Note: STA255H1 does not count as a distribution requirement course).","STA220H1/STA221H1/ECO220Y1 (note: ECO220Y1 may be taken as a co-requisite)/STAB22H3/STA220H5/ECO220Y5; MAT133Y1 (70%)/(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1/(MATA32H3 (70%), MATA33H3 (70%))/(MATA29H3 (70%), MATA35H3 (70%))/(MATA30H3, MATA36H3)/(MATA31H3, MATA37H3)/MAT133Y5 (70%)/(MAT132H5 (70%), MAT134H5 (70%))/(MAT135H5,MAT136H5)/MAT137Y5/MAT157Y5",,The Physical and Mathematical Universes (5),
STA257H1 - Probability and Statistics I,"A mathematically rigorous introduction to probability, with applications chosen to introduce concepts of statistical inference. Probability and expectation, discrete and continuous random variables and vectors, distribution and density functions, the law of large numbers. The binomial, geometric, Poisson, and normal distributions. The Central Limit Theorem. (Note: STA257H1 does not count as a distribution requirement course).","(MAT135H1 (70%), MAT136H1(70%))/MAT137Y1/MAT157Y1 (MAT137Y1/MAT157Y1 is strongly recommended)/(MATA30H3(70%), MATA36H3(70%))/(MATA31H3, MATA37H3)/(MAT135H5(70%), MAT136H5(70%))/MAT137Y5/MAT157Y5",,The Physical and Mathematical Universes (5),
STA261H1 - Probability and Statistics II,"A rigorous introduction to the theory of statistical inference and to statistical practice. Statistical models, parameters, and samples. Estimators for parameters, sampling distributions for estimators, and the properties of consistency, bias, and variance. The likelihood function and the maximum likelihood estimator. Hypothesis tests and confidence regions. Examples illustrating statistical theory and its limitations. Introduction to the use of a computer environment for statistical analysis. (Note: STA261H1 does not count as a distribution requirement course).",STA257H1/STAB52H3/STA256H5,,The Physical and Mathematical Universes (5),
STA288H1 - Statistics and Scientific Inquiry in the Life Sciences,"Introduction to statistics and its connection to all stages of the scientific inquiry process. Issues around data collection, analysis and interpretation are emphasized to inform study design and critical assessment of published research. Statistical software is used to conduct descriptive and inferential statistics to address basic life sciences research questions.",BIO230H1/BIO255H1,,The Physical and Mathematical Universes (5),Science
STA299H1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,,Science
STA299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,,Science
STA302H1 - Methods of Data Analysis I,"Introduction to data analysis with a focus on regression. Initial Examination of data. Correlation. Simple and multiple regression models using least squares. Inference for regression parameters, confidence and prediction intervals. Diagnostics and remedial measures. Interactions and dummy variables. Variable selection. Least squares estimation and inference for non-linear regression.",STA238H1/STA248H1/STA255H1/STA261H1/ECO227Y1/STAB57H3/STA258H5/STA260H5/ECO227Y5; CSC108H1/CSC110Y1/CSC120H1/CSC148H1/CSCA08H3/CSCA20H3/CSCA48H3/CSC108H5/CSC148H5; MAT221H1(70%)/MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5,,The Physical and Mathematical Universes (5),Science
STA303H1 - Methods of Data Analysis II,"Analysis of variance for one-and two-way layouts, logistic regression, loglinear models, longitudinal data, introduction to time series.",STA302H1/STAC67H3/STA302H5,,The Physical and Mathematical Universes (5),Science
"STA304H1 - Surveys, Sampling and Observational Data","Design of surveys, sources of bias, randomized response surveys. Techniques of sampling; stratification, clustering, unequal probability selection. Sampling inference, estimates of population mean and variances, ratio estimation. Observational data; correlation vs. causation, missing data, sources of bias.",ECO227Y1/ STA255H1/ STA261H1/ STA248H1/ STA238H1/ STAB57H3/ STA258H5/ STA260H5/ ECO227Y5,,The Physical and Mathematical Universes (5),Science
STA305H1 - Design and Analysis of Experiments,"Experiments vs observational studies, experimental units. Designs with one source of variation. Complete randomized designs and randomized block designs. Factorial designs. Inferences for contrasts and means. Model assumptions. Crossed and nested treatment factors, random effects models. Analysis of variance and covariance. Sample size calculations.",STA302H1/STAC67H3/STA302H5,,The Physical and Mathematical Universes (5),Science
STA313H1 - Data Visualization,"An introduction to data visualization and the use of visual and interactive representations of data to support human cognition. This course covers visualization techniques and algorithms based on principles from graphic design, perceptual psychology, cognitive science, and human-computer interaction. Topics include: graphic design, interaction, perception and cognition, communication, and ethics. Computational tutorials involve design review, implementation, and testing of information visualizations.",At least 70% in CSC108H1/CSC110Y1 or at least 60% in CSC148H1/CSC111H1; STA238H1/STA248H1/STA261H1/ECO227Y1,,The Physical and Mathematical Universes (5),Science
STA314H1 - Statistical Methods for Machine Learning I,"Statistical methods for supervised and unsupervised learning from data: training error, test error and cross-validation; classification, regression, and logistic regression; principal components analysis; stochastic gradient descent; decision trees and random forests; k-means clustering and nearest neighbour methods. Computational tutorials will support the efficient application of these methods.","STA238H1/STA248H1/STA255H1/STA261H1/STAB57H3/STA260H5/STA258H5/ECO227Y1; CSC108H1/CSC110Y1/CSC120H1/CSC148H1/CSCA08H3/CSCA48H3/CSCA20H3/CSC108H5/CSC148H5; MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5; MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5)",,The Physical and Mathematical Universes (5),
STA347H1 - Probability,"An overview of probability from a non-measure theoretic point of view. Random variables/vectors; independence, conditional expectation/probability and consequences. Various types of convergence leading to proofs of the major theorems in basic probability. An introduction to simple stochastic processes such as Poisson and branching processes.","STA247H1(70%)/STA255H1(70%)/STA237H1(70%)/STA257H1/ECO227Y1/STAB52H3/STA256H5; MAT223H1/MAT240H1/MATA22H3//MATA23H3/MAT223H5/MAT240H5; MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5) (Note: STA257H1, MAT223H1/MAT240H1, MAT237Y1/MAT257Y1 are very strongly recommended)",,The Physical and Mathematical Universes (5),Science
STA355H1 - Theory of Statistical Practice,"STA355H1 provides a unifying structure for the methods taught in other courses, and will enable students to read methodological research articles or articles with a large methodological component. Topics covered include statistical models and distributions; fundamentals of inference: estimation, hypothesis testing, and significance levels; likelihood functions and likelihood-based inference; prior distributions and Bayesian inference.","STA255H1 (73%)/STA248H1 (73%)/STA238H1 (73%)/STA261H1 (60%)/ECO227Y1 (60%)/STAB57H3 (60%)/STA260H5 (60%)/ECO227Y5 (60%); MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5); MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5",,The Physical and Mathematical Universes (5),Science
STA365H1 - Applied Bayesian Statistics,"Bayesian inference has become an important applied technique and is especially valued to solve complex problems. This course first examines the basics of Bayesian inference. From there, this course looks at modern, computational methods and how to make inferences on complex data problems.",STA302H1/STAC67H3/STA302H5,,The Physical and Mathematical Universes (5),Science
STA398H0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,,,Science
STA398Y0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,,,Science
STA399H1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,,Science
STA399Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,,
STA410H1 - Statistical Computation,"Programming in an interactive statistical environment. Generating random variates and evaluating statistical methods by simulation. Algorithms for linear models, maximum likelihood estimation, and Bayesian inference. Statistical algorithms such as the Kalman filter and the EM algorithm. Graphical display of data.",STA302H1/STAC67H3/STA302H5; CSC108H1/CSC110Y1/CSC120H1/CSC148H1/CSCA08H3/CSCA48H3/CSCA20H3/CSC108H5/CSC148H5; MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5,,The Physical and Mathematical Universes (5),Science
STA414H1 - Statistical Methods for Machine Learning II,"Probabilistic foundations of supervised and unsupervised learning methods such as naive Bayes, mixture models, and logistic regression. Gradient-based fitting of composite models including neural nets. Exact inference, stochastic variational inference, and Marko chain Monte Carlo. Variational autoencoders and generative adversarial networks.","STA314H1/CSC411H1/CSC311H1/(STA314H5, STA315H5)/CSCC11H3/CSC411H5; STA302H1/STAC67H3/STA302H5; CSC108H1/CSC110Y1/CSC120H1/CSC148H1/CSCA08H3/CSCA48H3/CSCA20H3/CSC108H5/CSC148H5; MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5); MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5",,The Physical and Mathematical Universes (5),Science
STA422H1 - Theory of Statistical Inference,"This course examines current theory of statistical inference, particularly likehood-based methods and Bayesian methods with an emphasis on resolving present conflicts; log-model expansion and asymptotics are primary tools.",STA355H1,,The Physical and Mathematical Universes (5),Science
STA437H1 - Methods for Multivariate Data,"Practical techniques for the analysis of multivariate data; fundamental methods of data reduction with an introduction to underlying distribution theory; basic estimation and hypothesis testing for multivariate means and variances; regression coefficients; principal components and partial, multiple and canonical correlations; multivariate analysis of variance; profile analysis and curve fitting for repeated measurements; classification and the linear discriminant function.",STA302H1/STAC67H3/STA302H5,,The Physical and Mathematical Universes (5),Science
STA442H1 - Methods of Applied Statistics,"Advanced topics in statistics and data analysis with emphasis on applications. Diagnostics and residuals in linear models, introduction to generalized linear models, graphical methods, additional topics such as random effects models, designed experiments, model selection, analysis of censored data, introduced as needed in the context of case studies.","STA303H1/(STAC67H3, STAC51H3); CSC108H1/CSC110Y1/CSC120H1/CSC148H1/CSCA08H3/CSCA48H3/CSCA20H3/CSC108H5/CSC148H5",,The Physical and Mathematical Universes (5),Science
STA447H1 - Stochastic Processes,"Discrete and continuous time processes with an emphasis on Markov, Gaussian and renewal processes. Martingales and further limit theorems. A variety of applications taken from some of the following areas are discussed in the context of stochastic modeling: Information Theory, Quantum Mechanics, Statistical Analyses of Stochastic Processes, Population Growth Models, Reliability, Queuing Models, Stochastic Calculus, Simulation (Monte Carlo Methods).",STA347H1/MAT377H1/STAC62H3,,The Physical and Mathematical Universes (5),Science
STA450H1 - Topics in Statistics,"Topics of current research interest are covered. Topics change from year to year, and students should consult the department for information on material presented in a given year.",,,The Physical and Mathematical Universes (5),Science
STA452H1 - Mathematical Statistics I,"Statistical theory and its applications at an advanced mathematical level. Topics include probability and distribution theory as it specifically pertains to the statistical analysis of data. Linear models and the geometry of data, least squares and the connection to conditional expectation. The basic concept of inference and the likelihood function.","MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5; MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5); (STA257H1, STA355H1)/STA347H1. Note: MAT237Y1/MAT257Y1; (MAT223H1, MAT224H1)/MAT240H1 very strongly recommended.",,The Physical and Mathematical Universes (5),Science
STA453H1 - Mathematical Statistics II,"Continuation of STA452H1: statistical theory and its applications at an advanced mathematical level. Topics include classical estimation, theory with methods based on the likelihood function and the likelihood statistics. Testing hypothesis and the evaluation of confidence from both a Bayesian and frequentist point of view.",STA452H1,,The Physical and Mathematical Universes (5),Science
STA457H1 - Time Series Analysis,"An overview of methods and problems in the analysis of time series data. Topics include: descriptive methods, filtering and smoothing time series, theory of stationary processes, identification and estimation of time series models, forecasting, seasonal adjustment, spectral estimation, bivariate time series models.","STA302H1/STAC67H3/STA302H5; MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5)",,The Physical and Mathematical Universes (5),Science
STA465H1 - Theory and Methods for Complex Spatial Data,"Data acquisition trends in the environmental, physical and health sciences are increasingly spatial in character and novel in the sense that modern sophisticated methods are required for analysis. This course will cover different types of random spatial processes and how to incorporate them into mixed effects models for Normal and non-Normal data. Students will be trained in a variety of advanced techniques for analyzing complex spatial data and, upon completion, will be able to undertake a variety of analyses on spatially dependent data, understand which methods are appropriate for various research questions, and interpret and convey results in the light of the original questions posed.","STA302H1/STAC67H3/STA302H5, STA303H1",,The Physical and Mathematical Universes (5),Science
STA475H1 - Survival Analysis,"An overview of theory and methods in the analysis of survival data. Topics include survival distributions and their applications, parametric and non-parametric methods, proportional hazards regression, and extensions to competing risks and multistate modelling.",STA303H1,,The Physical and Mathematical Universes (5),Science
STA480H1 - Fundamentals of Statistical Genetics,"Statistical analysis of genetic data is an important emerging research area with direct impact on population health. This course provides an introduction to the concepts and fundamentals of statistical genetics, including current research directions.  The course includes lectures and hands-on experience with R programming and state-of-the-art statistical genetics software packages.",STA303H1,,The Physical and Mathematical Universes (5),Science
"STA490Y1 - Statistical Consultation, Communication, and Collaboration","Through case studies and collaboration with researchers in other disciplines, students develop skills in the collaborative practice of Statistics. Focus is on pragmatic solutions to practical issues including study design, dealing with common complications in data analysis, and ethical practice, with particular emphasis on written communication.","STA303H1, STA304H1/STA305H1, STA355H1 (An application is required to be considered for this course. Information about this special enrolment course as well as a link to the online application form is available on the Department of Statistical Sciences website. Priority will be given to students who complete the application during the priority enrolment period the summer before the course is offered and who are completing all requirements of the Specialist in Statistical Science: Methods and Practice or the Applied Statistics Specialist that academic year.)",STA490H1,The Physical and Mathematical Universes (5),Science
STA492H1 - Seminar in Statistical Science,This course is intended for students completing the Statistical Science: Theory and Methods Specialist program. Novel influential ideas and current research topics in statistics will be explored through readings and discussion. Content will generally vary from semester to semester. Student presentations and written reports will be required.,STA355H1 (Permission of instructor. An application is required to be considered for this course. Information about this special enrolment course as well as a link to the online application form is available on the Department of Statistical Sciences website. Priority will be given to students who complete the application during the priority enrolment period the summer before the course is offered and who are completing all requirements of the Specialist in Statistical Science: Theory and Methods or the Statistics Specialist that academic year.),,The Physical and Mathematical Universes (5),Science
STA496H1 - Readings in Statistics,Independent study under the direction of a faculty member. Students wishing to take this course must have the permission of the Department of Statistical Sciences and of the prospective supervisor. Not eligible for CR/NCR option.,At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course,,The Physical and Mathematical Universes (5),Science
STA497H1 - Readings in Statistics,Independent study under the direction of a faculty member. Students wishing to take this course must have the permission of the Department of Statistical Sciences and of the prospective supervisor. Not eligible for CR/NCR option.,At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course,,The Physical and Mathematical Universes (5),Science
STA498Y1 - Readings in Statistics,Independent study under the direction of a faculty member. Students wishing to take this course must have the permission of the Department of Statistical Sciences and of the prospective supervisor. Not eligible for CR/NCR option.,At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course,,The Physical and Mathematical Universes (5),Science
STA499Y1 - Readings in Statistics,Independent study under the direction of a faculty member. Students wishing to take this course must have the permission of the Department of Statistical Sciences and of the prospective supervisor. Not eligible for CR/NCR option.,At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course,,The Physical and Mathematical Universes (5),Science
