Course Names,descriptions,prereq,Breadth requirements,distribution requirements
ACT372H1 - Basic Ratemaking Methods For P&C Insurance,"This course covers the basic ratemaking methods for P&C insurance. It assumes that students are familiar with traditional reserving diagnoses and projection methods. The syllabus would introduce concepts related to earning of exposures, on-level factors, catastrophe loading, large loss loading and credibility. Not eligible for CR/NCR option.",ACT371H1,,Science
ACT390H1 - Professional Experience in Actuarial Science,"The professional experience is a mandatory course in the actuarial science Specialist program, in preparation for an internship work term after the PE course is completed. It includes various professional skill workshops, networking activities and an invited industry speaker series. (No tuition fee associated, however an ancillary fee of $550 will be assessed towards Professional Experience preparatory program costs.)",Enrolment in the Actuarial Science Specialist.,,Science
ACT391H1 - Professional Internship,"Internship course for students enrolled in the Actuarial Science Specialist, fulfilled as a 12-week work term in a workplace related to actuarial science in third or fourth year. ACT390H1 must be completed first in preparation. Contact Department for more information. (No tuition fee associated, however an ancillary fee of $720 will be assessed towards Professional Experience placement.)",ACT390H1,,
ACT398H0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,The Physical and Mathematical Universes (5),Science
ACT398Y0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,The Physical and Mathematical Universes (5),Science
ACT451H1 - Loss Models,"Loss models policy adjustments, frequency and severity models, compound distributions.","STA257H1, ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%)",The Physical and Mathematical Universes (5),Science
ACT452H1 - Loss Models II,"Estimation of Loss and Survival Models using complete, censored and truncated data. Product-Limit estimation, empirical estimation, moment and percentile estimation, maximum likelihood estimation and simulation models.","ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), STA261H1, ACT451H1",The Physical and Mathematical Universes (5),Science
ACT455H1 - Advanced Topics in Actuarial Science,"Advanced life contingencies, multiple decrement theory, insurance policy expenses, multi-state transition models, Poisson processes.","ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), ACT348H1, ACT350H1/STA347H1",The Physical and Mathematical Universes (5),Science
ACT460H1 - Stochastic Methods for Actuarial Science,"Applications of the lognormal distribution, Brownian motion, geometric Brownian motion, martingales, Ito's lemma, stochastic differential equations, interest rate models, the Black-Scholes model, volatility, value at risk, conditional tail expectation.","ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), ACT350H1/STA347H1",The Physical and Mathematical Universes (5),Science
ACT466H1 - Credibility and Simulation,"Limited fluctuation credibility, Bayesian estimation, Buhlmann credibility, non-parametric credibility methods, inverse transformation simulation method, specialized simulation methods for the normal and lognormal distributions, Monte Carlo methods, the bootstrap method.","ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), STA261H1, ACT350H1/STA347H1, ACT451H1",The Physical and Mathematical Universes (5),Science
ACT470H1 - Advanced Pension Mathematics,Topics in pension mathematics; funding methods for pension plans. (Offered in alternate years),ACT348H1 or permission of instructor,The Physical and Mathematical Universes (5),Science
ACT471H1 - Topics in Casualty Actuarial Science,"Topic for 2016-2017: Advanced Ratemaking Methods for P&C Insurance|This course will cover advanced ratemaking methods for P&C insurance. It includes topics such as commercial insurance pricing, catastrophic pricing, reinsurance pricing and GLM applications to P&C insurance.|(Offered in alternate years)|Not eligible for CR/NCR option.",permission of instructor,The Physical and Mathematical Universes (5),Science
ACT473H1 - Issues In Actuarial Practice,"Case study approach to current issues in life insurance, pension consulting and casualty actuarial practice. The focus of the course will be on communication and presentation. This course is Pass/Fail. Not eligible for Credit/No Credit.  The course is open to students in the specialist program in actuarial science. Students in the major program in actuarial science can enrol into the course with permission of the department.","ACT348H1, ACT349H1",The Physical and Mathematical Universes (5),Science
ACT475H1 - Insurance Products and Regulation with AXIS,"Case studies using leading actuarial application AXIS. Examine key types of insurance products and their pricing and valuation. Review representative developments in insurance regulations in US, Europe and Canada. Other topics include a brief introduction of the use of AI in life insurance.","ACT240H1, ACT245H1, ACT247H1",The Physical and Mathematical Universes (5),Science
ACT496H1 - Readings in Actuarial Science,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,,The Physical and Mathematical Universes (5),Science
ACT497H1 - Readings in Actuarial Science,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,,The Physical and Mathematical Universes (5),Science
ACT498Y1 - Readings in Actuarial Science,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,,The Physical and Mathematical Universes (5),Science
ACT499Y1 - Readings in Actuarial Science,Independent study under the direction of a faculty member. Persons wishing to take this course must have the permission of the Undergraduate Secretary and of the prospective supervisor. Not eligible for CR/NCR option.,,The Physical and Mathematical Universes (5),Science
