Course Names,descriptions,prereq,Breadth requirements,distribution requirements
CHE249H1 - Engineering Economic Analysis,"Engineering analysis and design are not ends in themselves, but they are a means for satisfying human wants. Thus, engineering concerns itself with the materials used and forces and laws of nature, and the needs of people. Because of scarcity of resources and constraints at all levels, engineering must be closely associated with economics. It is essential that engineering proposals be evaluated in terms of worth and cost before they are undertaken. In this course we emphasize that an essential prerequisite of a successful engineering application is economic feasibility. Hence, investment proposals are evaluated in terms of economic cost concepts, including break even analysis, cost estimation and time value of money. Effective interest rates, inflation and deflation, depreciation and income tax all affect the viability of an investment. Successful engineering projects are chosen from valid alternatives considering such issues as buy or lease, make or buy, cost and benefits and financing alternatives. Both public sector and for-profit examples are used to illustrate the applicability of these rules and approaches.",,,
CHE298H1 - Communication,"Each student will make a large number of very short speeches developing skills for speaking to large and small groups. Many elements of public speaking are explored: voice, body language, timing, word selection, speech preparation, speech structure, audience and surroundings. Students will prepare and present overheads. Extemporaneous speeches. Questions and answers. Interviewing.",,,
CHE299H1 - Communication,"Each student will learn to identify the central message they wish to communicate. They will learn to articulate this message through effective argumentation. Students will analyze their audience and purpose to select the most effective mode of communication. Students will summarize and synthesize information from external sources and effectively organize information and prioritize it in each mode of communication. They will apply effective strategies to the design of text, visuals and oral presentations.",,,
CHE304H1 - Chemical Engineering and Applied Chemistry- Laboratory III,"This laboratory course involves experiments investigating thermodynamics and kinetics, complimenting two courses this term. Thermodynamic experiments include phase equilibrium and calorimetry, and kinetics experiment include investigations of rate constants and Arrhenius behvaiour. Experimental applications of physical and chemical principles using pilot scale equipment. Experiments illustrating major unit operations: distillation; absorption; reactors; extraction; humidification; heat exchange.",,,
CHE305H1 - Chemical Engineering and Applied Chemistry- Laboratory IV,"This laboratory course involves experiments investigating thermodynamics and kinetics, complimenting two courses this term. Thermodynamic experiments include phase equilibrium and calorimetry, and kinetics experiment include investigations of rate constants and Arrhenius behvaiour. Experimental applications of physical and chemical principles using pilot scale equipment. Experiments illustrating major unit operations: distillation; absorption; reactors; extraction; humidification; heat exchange.",,,
CHE311H1 - Separation Processes,"Staged equilibrium and rate governed separation processes for gases and liquids. Topics include equilibrium stage calculations, cascade separation, binary distillation, gas absorption and stripping, liquid-liquid extraction, membrane processes, adsorption and ion exchange. Experiments in fluid mechanics, heat transfer and related unit operations.",,,
CHE322H1 - Process Control,"The major goal of this course is to teach students how to design control strategies for chemical processes. The first part of the course focuses on the types of interconnections encountered in chemical engineering, namely feedback, parallel and series connections, and their effect on the process dynamics. The second part of the course looks at the design of feedback, feedforward, cascade and multivariable control strategies for these processes and interprets these types of engineered interconnections in terms of the effect they have on the performance of the overall system. This course makes extensive use of active learning through computer simulation based on MATLAB/Simulink and Aspen Plus Dynamics software.",,,
CHE323H1 - Engineering Thermodynamics,"Classical thermodynamics and its applications to engineering processes are introduced. Topics include: the concepts of energy, work and entropy; the first and second laws of thermodynamics; properties of pure substances and mixtures; the concepts of thermal equilibrium, phase equilibrium and chemical equilibrium; and heat engines and refrigeration cycles.",,,
CHE324H1 - Process Design,"This course presents the philosophy and typical procedures of chemical engineering design projects. The course begins at the design concept phase. Material and energy balances are reviewed along with the design of single unit operations and equipment specification sheets. The impact of recycles on equipment sizing is covered. Safety, health and environmental regulations are presented. These lead to the development of safe operating procedures. The systems for developing Piping and Instrumentation diagrams are presented. Process safety studies such as HAZOPS are introduced. Typical utility systems such as steam, air and vacuum are discussed. Project economics calculations are reviewed.",,,
CHE332H1 - Reaction Kinetics,"The rates of chemical processes. Topics include: measurement of reaction rates, reaction orders and activation energies; theories of reaction rates; reaction mechanisms and networks; development of the rate law for simple and complex kinetic schemes; approach to equilibrium; homogeneous and heterogeneous catalysis. Performance of simple chemical reactor types.",,,
CHE333H1 - Chemical Reaction Engineering,"Covers the basics of simple reactor design and performance, with emphasis on unifying the concepts in kinetics, thermodynamics and transport phenomena. Topics include flow and residence time distributions in various reactor types as well as the influence of transport properties (bulk and interphase) on kinetics and reactor performance. The interplay of these facets of reaction engineering is illustrated by use of appropriate computer simulations.",,,
CHE334H1 - Team Strategies for Engineering Design,"In this course, team strategies including how teams work, how to lead and manage teams, and decision making methodologies for successful teams will be taught in the context of engineering design. The development of problem solving and design steps will be undertaken. This course will be taught with an emphasis on team development and problem solving as it relates to the practice of process safety management in engineering and engineering design. The teams will develop a PFD and P&ID's, as well as an operating procedure for a portion of the process. Thus, environmental and occupational health and safety becomes the vehicle through which the teamwork is performed.",,,
CHE341H1 - Engineering Materials,"This course advances the understanding of the use of materials in engineering design, with special emphasis on corrosion and the effect of chemical environment on long term failure modes. Students will learn how to apply material property data to specify materials for load bearing applications, thermal and other non-structural applications, and chemical containment and transport. Topics will include strength of materials concepts, an introduction to computerized materials databases, material failure modes and criteria, principles of corrosion, and practical applications of corrosion prediction and mitigation. Students are required to design a component of their choice and do a detailed materials selection as a major design project.",,,
CHE353H1 - Engineering Biology,"Using a quantitative, problem solving approach, this course will introduce basic concepts in cell biology and physiology. Various engineering modelling tools will be used to investigate aspects of cell growth and metabolism, transport across cell membranes, protein structure, homeostasis, nerve conduction and mechanical forces in biology.",,,
CHE354H1 - Cellular and Molecular Biology,"This course will cover the principles of molecular and cellular biology as they apply to both prokaryotic and eukaryotic cells. Topics will include: metabolic conversion of carbohydrates, proteins, and lipids; nucleic acids; enzymology; structure and function relationships within cells; and motility and growth. Genetic analysis, immunohistochemistry, hybridomis, cloning, recombinant DNA and biotechnology will also be covered. This course will appeal to students interested in environmental microbiology, biomaterials and tissue engineering, and bioprocesses.",CHE353H1,,
CHE399H1 - Professional Engineering Consultancy,"Students are provided with an open-ended and iterative learning experience through a consulting engineering project. Students tackle an authentic design challenge with limited background knowledge, while being guided by instructors who simulate the client-consultant relationship. The project brings together technical and professonal competencies from across eight graduate attributes to enable holistic learning: problem analysis; investigation; design; individual and team work; communication skills; professionalism; economics and project management; lifelong learning.",,,
CHE403H1 - Professional Practice,"In this course, lectures and seminars will be given by practicing engineers who will cover the legal and ethical responsibility an engineer owes to an employer, a client and the public with particular emphasis on environmental issues.",,,
CHE412H1 - Advanced Reactor Design,"Heterogeneous reactors. Mass and heat transport effects including intraparticle transport effects (Thiele modulus). Stability for various rate laws, transport regimes. Time dependent issues - deactivation/regeneration strategies. Emerging processes.",,,
CHE430Y1 - Chemical Plant Design,Students work in teams to design plants for the chemical and process industries and examine their economic viability. Lectures concern the details of process equipment and design.,"CHE249H1, CHE324H1, and two of CHE311H1, CHE322H1, CHE333H1 or equivalent)",,
CHE441H1 - Engineering Materials,"This course advances the understanding of the use of materials in engineering design, with special emphasis on corrosion and the effect of chemical environment on long term failure modes. Students will learn how to apply material property data to specify materials for load bearing applications, thermal and other non-structural applications, and chemical containment and transport. Topics will include strength of materials concepts, an introduction to computerized materials databases, material failure modes and criteria, principles of corrosion, and practical applications of corrosion prediction and mitigation. Students are required to design a component of their choice and do a detailed materials selection as a major design project.",,,
CHE450H1 - Bioprocess Technology and Design,"Building upon CHE353 and CHE354, the aim of this course is to learn and apply engineering principles relevant to bioprocess engineering, including energetics and stoichiometry of cell growth, cell and enzyme kinetics, metabolic modeling, bioreactor design, and bioseparation processes. In addition to course lectures, students will complete two laboratory exercises that will provide hands-on learning in bioreactor set-up and use.",CHE353H1 and CHE354H1,,
CHE451H1 - Petroleum Processing,"This course is aimed at surveying the oil industry practices from the perspective of a block flow diagram. Oil refineries today involve the large scale processing of fluids through primary separation techniques, secondary treating plus the introduction of catalyst for molecular reforming in order to meet the product demands of industry and the public. Crude oil is being shipped in increasing quantities from many parts of the world and refiners must be aware of the properties and specifications of both the crude and product slates to ensure that the crude is a viable source and that the product slate meets quality and quantity demands thus assuring a profitable operation. The course content will examine refinery oil and gas operations from feed, through to products, touching on processing steps necessary to meet consumer demands. In both course readings and written assignments, students will be asked to consider refinery operations from a broad perspective and not through detailed analysis and problem solving.",,,
CHE460H1 - Environmental Pathways and Impact Assessment,"Review of the nature, properties and elementary toxicology of metallic and organic contaminants. Partitioning between environmental media (air, aerosols, water, particulate matter, soils, sediments and biota) including bioaccumulation. Degradation processes, multimedia transport and mass balance models. Regulatory approaches for assessing possible effects on human health and ecosystems.",,,
CHE462H1 - Food Engineering,"The quantitative application of chemical engineering principles to the large-scale production of food. Food processing at the molecular and unit operation levels. The chemistry and kinetics of specific food processes. The application of chemical engineering unit operations (distillation, extraction, drying) and food specific unit operations such as extrusion, thermal processing refrigeration/freezing.",,,
CHE467H1 - Environmental Engineering,"Core Course in the Environmental Engineering Minor A course which treats environmental engineering from a broad based but quantitative perspective and covers the driving forces for engineering activities as well as engineering principles. Models which are used for environmental impact, risk analysis, health impact, pollutant dispersion, and energy system analysis are covered.",,,
CHE469H1 - Fuel Cells and Electrochemical Conversion Devices,"The objective of this course is to provide a foundation for understanding the field of electrochemical conversion devices with particular emphasis on fuel cells. The topics will proceed from the fundamental thermodynamic in-system electodics and ionic interaction limitations to mass transfer and heat balance effects,t o the externalities such as economics and system integration challenges. Guest lecturers from the fuel cell industry will be invited to procide an industrial perspective. Participants will complete a paper and in-class presentation.",,,
CHE470H1 - Special Topics in Chemical Engineering,"A course covering selected topics in Chemical Engineering, not covered in other electives. Different topics may be covered each year depending on the interest of the Staff and students. May not be offered every year. Limited enrolment: permission of the Department required.",,,
CHE471H1 - Modelling in Biological and Chemical Systems,"This course outlines the methodology for the modelling of biological systems and its applications. Topics will include a review of physical laws, selection of balance space, compartmental versus distributed models, and applications of the conservation laws for both discrete and continuous systems at the level of algebraic and ordinary differential equations. The course covers a wide range of applications including environmental issues, chemical and biochemical processes and biomedical systems.",,,
CHE475H1 - Biocomposites: Mechanics and Bioinspiration,"An overview on structure, processing and application of natural and biological materials, biomaterials for biomedical applications, and fibre-reinforced eco-composites based on renewable resources will be provided. Fundamental principles related to linear elasticity, linear viscoelasticity, dynamic mechanical response, composite reinforcement mechanics, and time-temperature correspondence will be introduced. Novel concepts in comparative biomechanics, biomimetic and bio-inspired material design, and materials' ecological and environmental impact will be discussed. In addition, key material processing methods and testing and characterization techniques will be presented. Structure-property relationships for materials broadly ranging from natural materials, including wood, bone, cell, and soft tissue, to synthetic composite materials for industrial and biomedical applications will be covered.",,,
CHE499Y1 - Thesis,"The course consists of a research project conducted under the supervision of a senior staff member. The project may have an experimental, theoretical or design emphasis. Each thesis will contain a minimum 60% combined Engineering Science and Engineering Design (with a minimum of 10% in each component). This course is open to students with permission of the Department and research project supervisor.",,,
CHE507H1 - Data-based Modelling for Prediction and Control,This course will teach students how to build mathematical models of dynamic systems and how to use these models for prediction and control purposes. The course will deal primarily with a system identification approach to modelling (using observations from the system to build a model). Both continuous time and discrete time representations will be treated along with deterministic and stochastic models. This course will make extensive use of interactive learning by having students use computer based tools available in the Matlab software package (e.g. the System Identification Toolbox and the Model Predictive Control Toolbox).,,,
CHE561H1 - Risk Based Safety Management,"This course provides an introduction to Process Safety Management. The historical drivers to improve safety performance are reviewed and the difference between safety management and occupational health and safety is discussed. National and international standards for PSM are reviewed. Risk analysis is introduced along with techniques for process hazard analysis and quantification. Consequence and frequency modelling is introduced. Rsik based decision making is introduced, and the course concludes with a discussio of the key management systems required for a successful PSM system.",,,
"CHE562H1 - Applied Chemistry IV - Applied Polymer Chemistry, Science and Engineering","This course serves as an introduction to concepts in polymer chemistry, polymer science and polymer engineering. This includes a discussion of the mechanisms of step growth, chain growth and ring-opening polymerizations with a focus on industrially relevant polymers and processes. The description of polymers in solution as well as the solid state will be explored. Several modern polymer characterization techniques are introduced including gel permeation chromatography, differential scanning calorimetry, thermal gravimetric analysis and others.",,,
CHE564H1 - Pulp and Paper Processes,"The processes of pulping, bleaching and papermaking are used to illustrate and integrate chemical engineering principles. Chemical reactions, phase changes and heat, mass and momentum transfer are discussed. Processes are examined on four scales: molecular, diffusional, unit operations and mill. In the tutorial each student makes several brief presentations on selected topics and entertains discussion.",,,
CHE565H1 - Aqueous Process Engineering,"Application of aqueous chemical processing to mineral, environmental and industrial engineering. The course involves an introduction to the theory of electrolyte solutions, mineral-water interfaces, dissolution and crystallization processes, metal ion separations, and electrochemical processes in aqueous reactive systems. Applications and practice of (1) metal recovery from primary (i.e. ores) and secondary (i.e. recycled) sources by hydrometallurgical means, (2) treatment of aqueous waste streams for environmental protection, and (3) production of high-value-added inorganic materials.",,,
CHE566H1 - Elements of Nuclear Engineering,"A first course in nuclear engineering intended to introduce students to all aspects of this interdisciplinary field. Topics covered include nuclear technology, atomic and nuclear physics, thermonuclear fusion, nuclear fission, nuclear reactor theory, nuclear power plants, radiation protection and shielding, environment and nuclear safety, and the nuclear fuel cycle.",,,
CHE568H1 - Nuclear Engineering,"Fundamental and applied aspects of nuclear engineering. The structure of the nucleus; nuclear stability and radioactive decay; the interaction of radiation with matter including radiological health hazards; the interaction of neutrons including cross-sections, flux, moderation, fission, neutron diffusion and criticality. Poison buildup and their effects on criticality. Nuclear engineering of reactors, reactor accidents, and safety issues.",,,
CIV100H1 - Mechanics,"The principles of statics are applied to composition and resolution of forces, moments and couples. The equilibrium states of structures are examined. Throughout, the free body diagram concept is emphasized. Vector algebra is used where it is most useful, and stress blocks are introduced. Shear force diagrams, bending moment diagrams and stress-strain relationships for materials are discussed. Stress and deformation in axially loaded members and flexural members (beams) are also covered.",,,
CIV250H1 - Hydraulics and Hydrology,"The hydrologic processes of precipitation and snowmelt, evapotranspiration, ground water movement, and surface and subsurface runoff are examined. Water resources sustainability issues are discussed, including water usage and water shortages, climate change impacts, land use impacts, and source water protection. Conceptual models of the hydrologic cycle and basics of hydrologic modelling are developed, including precipitation estimation, infiltration and abstraction models, runoff hydrographs, the unit hydrograph method and the Rational method. Methods for statistical analysis of hydrologic data, concepts of risk and design, and hydrological consequences of climate change for design are introduced. Principles of open channel hydraulics are introduced. Energy and momentum principles are studied with application to channel transitions, critical flow, choked flow, and hydraulic jumps.",CME270H1,,
CIV300H1 - Terrestrial Energy Systems,"Core Course in the Sustainable Energy Minor Various earth systems for energy transformation, storage and transport are explored. Geological, hydrological, biological, cosmological and oceanographic energy systems are considered in the context of the Earth as a dynamic system, including the variation of solar energy received by the planet and the redistribution of this energy through various radiative, latent and sensible heat transfer mechanisms. It considers the energy redistribution role of large scale atmospheric systems, of warm and cold ocean currents, the role of the polar regions, and the functioning of various hydrological systems. The contribution and influence of tectonic systems on the surface systems is briefly introduced, as well the important role of energy storage processes in physical and biological systems, including the accumulation of fossil fuel reserves.",,,
CIV375H1 - Building Science,"The fundamentals of the science of heat transfer, moisture diffusion, and air movement are presented. Using these fundamentals, the principles of more sustainable building enclosure design, including the design of walls and roofs are examined. Selected case studies together with laboratory investigations are used to illustrate how the required indoor temperature and moisture conditions can be maintained using more durable and more sustainable designs.",,,
CIV440H1 - Environmental Impact and Risk Assessment,"Core Course in the Environmental Engineering Minor. The process and techniques for assessing and managing the impacts on and risks to humans and the ecosystem associated with engineered facilities, processes and products. Both biophysical and social impacts are addressed. Topics include: environmental assessment processes; environmental legislation; techniques for assessing impacts; engineering risk analysis; health risk assessment; risk management and communication; social impact assessment; cumulative impacts; environmental management systems; the process of considering alternative methods for preventing and controlling impacts; and stakeholder involvement and public participation. Examples are drawn from various engineering activities and facilities such as energy production, chemical production, treatment plants, highways and landfills.",,,
CIV549H1 - Groundwater Flow and Contamination,Mechanics of saturated and unsaturated fluid flow in porous media. Confined and unconfined flow. Flow to wells. Analytical and numerical solutions of groundwater flow equations. Non-reactive and reactive contaminant transport on groundwater systems. Analytical and numerical solutions of contaminant transport equations. Flow and solute transport in fractured porous media. Assessment of environmental impacts of waste disposal operations. Remediation of contaminated groundwater.,"CME270H1, CIV250H1 or equivalent",,
CIV550H1 - Water Resources Engineering,"Global and national water problems, law and legislation. Hydraulic structures. Reservoir analysis. Urban drainage and runoff control: meteorologic data analysis, deterministic and stochastic modelling techniques. Flood control: structural and nonstructural alternatives. Power generation: hydro and thermal power generation. Low flow augmentation. Economics and decision making.","CIV250H1, CIV340H1 or equivalent",,
FOR424H1 - Innovation and Manufacturing of Sustainable Materials,"Sustainable materials are a mandate for sustainable societies. This course will explore the manufacturing, engineering principles and design fundamentals for creating sustainable materials from renewable resources. Special emphasis will be on bioplastics, biofibre, nanobiofibre, biocomposites and nanobiocomposites. Written communication and design skills will be developed through tutorials and assignments.",,,
FOR425H1 - Bioenergy and Biorefinery Technology,"Technological advances and approaches in deriving biofuels, chemical feedstocks from forest and other biomass resources. Fundamental chemical attributes of biomass, as they affect the fuel value and potential for deriving liquid, solid and gaseous fuels and valuable chemicals for other applications will be explored.",,,
MAT186H1 - Calculus I,"Topics include: limits and continuity; differentiation; applications of the derivative - related rates problems, curve sketching, optimization problems, L'Hopital's rule; definite and indefinite integrals; the Fundamental Theorem of Calculus; applications of integration in geometry, mechanics and other engineering problems.",,,
MAT187H1 - Calculus II,"Topics include: techniques of integration, an introduction to mathematical modeling with differential equations, infinite sequences and series, Taylor series, parametric and polar curves, vector-valued functions, partial differentiation, and application to mechanics and other engineering problems.",APS162H1/MAT186H1,,
MAT188H1 - Linear Algebra,"This course covers systems of linear equations and Gaussian elimination, applications; vectors in Rn, independent sets and spanning sets; linear transformations, matrices, inverses; subspaces in Rn, basis and dimension; determinants; eigenvalues and diagonalization; systems of differential equations; dot products and orthogonal sets in Rn; projections and the Gram-Schmidt process; diagonalizing symmetric matrices; least squares approximation. Includes an introduction to numeric computation in a weekly laboratory.",,,
MIE304H1 - Introduction to Quality Control,Introduction to quality engineering. Quality standards and certification. TQM. Modeling processes with simulation. Making inferences about product quality from real or simulation output data. Introduction to statistical process control. Control charts for variables and attributes. Process capability analysis. Lot Acceptance Sampling.,MIE231 or equivalent,,
MIE515H1 - Alternative Energy Systems,"This course covers the basic principles, current technologies and applications of selected alternative energy systems. Specific topics include solar thermal systems, solar photovoltaic systems, wind, wave, and tidal energy, energy storage, and grid connections issues. Limited enrolment.","MIE210H1,MIE312H1 and MIE313H1 (or equivalent courses).",,
MIE516H1 - Combustion and Fuels,"Introduction to combustion theory. Chemical equilibrium and the products of combustion. Combustion kinetics and types of combustion. Pollutant formation. Design of combustion systems for gaseous, liquid and solid fuels. The use of alternative fuels (hydrogen, biofuels, etc.) and their effect on combustion systems.",,,
MIE517H1 - Fuel Cell Systems,"Thermodynamics and electrochemistry of fuel cell operation and testing; understanding of polarization curves and impedance spectroscopy; common fuel cell types, materials, components, and auxiliary systems; high and low temperature fuel cells and their applications in transportation and stationary power generation, including co-generation and combined heat and power systems; engineering system requirements resulting from basic fuel cell properties and characteristics.",,,
MSE440H1 - BIomaterial Processing and Properties,"Currently used biomaterials for formation of surgical implants and dental restorations include selected metals, polymers, ceramics, and composites. The selection and processing of these materials to satisfy biocompatibility and functional requirements for applications in selected areas will be presented. Materials used for forming scaffolds for tissue engineering, and strategies for repair, regeneration and augmentation of degenerated or traumatized tissues will be reviewed with a focus on biocompatibility issues and required functionality for the intended applications.",MSE343H1 or equivalent,,
