Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
MAT137Y1 - Calculus with Proofs,"A conceptual approach for students with a serious interest in mathematics. Attention is given to computational aspects as well as theoretical foundations and problem solving techniques. Review of Trigonometry. Limits and continuity, mean value theorem, inverse function theorem, differentiation, integration, fundamental theorem of calculus, elementary transcendental functions, Taylor's theorem, sequence and series, power series. Applications.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT138H1 - Introduction to Proofs,"The goal of this course is for students to become comfortable with abstraction, rigour, logic, and proofs. They will practice reading and understanding mathematical statements, analyzing definitions and properties, formulating conjectures and generalizations, providing and writing reasonable and precise arguments, writing and critiquing proofs. The instructor may use specific mathematical content, which could vary from year to year, to practice these skills. The course is aimed at students interested in the creative character of mathematics, particularly those planning to take any of our proof-oriented courses, and is an excellent preparation for MAT137Y1, MAT157Y1, or MAT240H1.|Note: students may take this course concurrently with MAT157Y1 or MAT137Y1, or prior to registering in MAT157Y1 or MAT137Y1. This course can also be used by students who have already taken MAT136H1 and wish to bridge the gap to MAT237Y1.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT157Y1 - Analysis I,"A theoretical course in calculus; emphasizing proofs and techniques, as well as geometric and physical understanding. Trigonometric identities. Limits and continuity; least upper bounds, intermediate and extreme value theorems. Derivatives, mean value and inverse function theorems. Integrals; fundamental theorem; elementary transcendental functions. Techniques of integration. Taylor's theorem; sequences and series; uniform convergence and power series.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT192H1 - Liberating Mathematics,"Currently, mathematics is at a crossroads between tradition and progress. Progress has been led in large part by women mathematicians, in particular Black women, Indigenous women, and women from visible minorities. Intertwined in their studies of mathematics is a daring critique of traditional mathematics, re-imagining of mathematics culture, and more. This course will compare and contrast new forms of accessible mathematics with standard sources that draw dominantly on the experiences and narratives of men. Restricted to first-year students. Not eligible for CR/NCR option.",High school level algebra.,,The Physical and Mathematical Universes (5),Science
MAT193H1 - Women’s Mathematics,"Mathematics has been shaped in significant ways by the work of outstanding female mathematicians such as Hypatia, Emmy Noether, Sofia Kovalevskaya, and Maryam Mirzakhani. Despite these successes, women still experience barriers to entering the field and participating at the highest levels. This course will blend an exploration of mathematics created by women with a study of the issue of women in mathematics. Students will have the opportunity to examine the complex factors that impact women’s participation in STEM, learn about the lives of female mathematicians, create their own mathematics, and sharpen their spatial cognition and logical thinking skills. Restricted to first-year students. Not eligible for CR/NCR option.",High school level algebra.,,The Physical and Mathematical Universes (5),Science
MAT198H1 - Cryptology: The Mathematics of Secrecy and Security,"How do we send our own confidential information through secure channels, and how can we break codes to uncover the secret information of our adversaries? The mathematical field of cryptology is dedicated to answering such questions. In this course we will study breakthroughs in cryptology, from secret messages in the ancient world and the Enigma cipher in World War II, to modern cryptosystems that facilitate online commerce. Along the way, you will develop a sophisticated understanding of how numbers interact and develop the ability to communicate messages secretly and mathematics clearly. Restricted to first-year students. Not eligible for CR/NCR option.",High school level algebra.,,The Physical and Mathematical Universes (5),Science
MAT199H1 - Aha! Mathematical Discovery and Creative Problem Solving,"This course is an exploration into the creative process and use of imagination as they arise in the context of mathematical problem solving. The problems, which are all at a pre-calculus level, are chosen primarily by the criterion of aesthetic appeal, and emphasize reasoning rather than technique. Still, many of them are quite challenging, and substantial independent thinking will be required, the course is therefore appropriate for students from a variety of backgrounds and disciplines, including hard sciences. Its goal will be to hone each participant's creativity and mathematical problem-solving skills while guiding them towards the `Aha!' experience which accompanies independent discovery. Restricted to first-year students. Not eligible for CR/NCR option.",High school level algebra,,The Physical and Mathematical Universes (5),Science
MAT221H1 - Applied Linear Algebra,"An application-oriented approach to linear algebra, based on calculations in standard Euclidean space. Systems of linear equations, matrices, Gauss-Jordan elimination, subspaces, bases, orthogonal vectors and projections. Matrix inverses, kernel and range, rank-nullity theorem. Determinants, eigenvalues and eigenvectors, Cramer's rule, diagonalization. This course has strong emphasis on building computational skills in the area of algebra. Applications to curve fitting, economics, Markov chains and cryptography.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT223H1 - Linear Algebra I,"Systems of linear equations, matrix algebra, real vector spaces, subspaces, span, linear dependence and independence, bases, rank, inner products, orthogonality, orthogonal complements, Gram-Schmidt, linear transformations, determinants, Cramer's rule, eigenvalues, eigenvectors, eigenspaces, diagonalization.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT224H1 - Linear Algebra II,"Fields, complex numbers, vector spaces over a field, linear transformations, matrix of a linear transformation, kernel, range, dimension theorem, isomorphisms, change of basis, eigenvalues, eigenvectors, diagonalizability, real and complex inner products, spectral theorem, adjoint/self-adjoint/normal linear operators, triangular form, nilpotent mappings, Jordan canonical form.",MAT221H1(80%)/MAT223H1/MAT240H1/MATA22H3,,The Physical and Mathematical Universes (5),Science
MAT235Y1 - Multivariable Calculus,"Parametric equations and polar coordinates. Vectors, vector functions and space curves. Differential and integral calculus of functions of several variables. Line integrals and surface integrals and classic vector calculus theorems. Examples from life sciences and physical science applications.","(MAT135H1/MAT135H5/MATA30H3/MATA31H3, MAT136H1/MAT136H5/MATA36H3/MATA37H3)/MAT135Y5/MAT137Y1/MAT137Y5/MAT157Y1/MAT157Y5",,The Physical and Mathematical Universes (5),Science
MAT237Y1 - Multivariable Calculus with Proofs,"Sequences and series. Uniform convergence. Convergence of integrals. Elements of topology in R^2 and R^3. Differential and integral calculus of vector valued functions of a vector variable, with emphasis on vectors in two and three dimensional euclidean space. Extremal problems, Lagrange multipliers, line and surface integrals, vector analysis, Stokes' theorem, Fourier series, calculus of variations.","MAT137Y1/MAT157Y1/(MAT135H1/MAT135H5, MAT136H1(85%)/MAT136H5 (85%), MAT138H1), MAT223H1/MAT240H1",,The Physical and Mathematical Universes (5),Science
MAT240H1 - Algebra I,"A theoretical approach to: vector spaces over arbitrary fields, including C and Z_p. Subspaces, bases and dimension. Linear transformations, matrices, change of basis, similarity, determinants. Polynomials over a field (including unique factorization, resultants). Eigenvalues, eigenvectors, characteristic polynomial, diagonalization. Minimal polynomial, Cayley-Hamilton theorem.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT244H1 - Introduction to Ordinary Differential Equations,"First order ordinary differential equations: Direction fields, integrating factors, separable equations, homogeneous equations, exact equations, autonomous equations, modeling. Existence and uniqueness theorem. Higher order equations: Constant coefficient equations, reduction of order, Wronskian, method of undetermined coefficients, variation of parameters. Solutions by series and integrals. First order linear systems, fundamental matrices. Non-linear equations, phase plane, stability. Applications in life and physical sciences and economics.","(MAT135H1/MAT135H5/MATA35H3/MATA30H3/MATA31H3, MAT136H1/MAT136H5/MATA36H3/MATA37H3)/MAT135Y5/MAT137Y1/MAT137Y5/MAT157Y1/MAT157Y5, MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5",,The Physical and Mathematical Universes (5),Science
MAT245H1 - Mathematical Methods in Data Science,"An introduction to the mathematical methods behind scientific techniques developed for extracting information from large data sets. Elementary probability density functions, conditional expectation, inverse problems, regularization, dimension reduction, gradient methods, singular value decomposition and its applications, stability, diffusion maps. Examples from applications in data science and big data.","MAT137Y1/MAT157Y1, MAT223H1/MAT240H1, MAT224H1/MAT247H1",,The Physical and Mathematical Universes (5),Science
MAT246H1 - Concepts in Abstract Mathematics,"Designed to introduce students to mathematical proofs and abstract mathematical concepts. Topics may include modular arithmetic, sizes of infinite sets, and a proof that some angles cannot be trisected with straightedge and compass.","MAT133Y1/(MAT135H1/MAT135H5, MAT136H1/MAT136H5)/MAT137Y1,MAT223H1/MAT240H1",,The Physical and Mathematical Universes (5),Science
MAT247H1 - Algebra II,"A theoretical approach to real and complex inner product spaces, isometries, orthogonal and unitary matrices and transformations. The adjoint. Hermitian and symmetric transformations. Spectral theorem for symmetric and normal transformations. Polar representation theorem. Primary decomposition theorem. Rational and Jordan canonical forms. Additional topics including dual spaces, quotient spaces, bilinear forms, quadratic surfaces, multilinear algebra.",MAT240H1/MAT240H5,,The Physical and Mathematical Universes (5),Science
MAT257Y1 - Analysis II,"Topology of R^n; compactness, functions and continuity, extreme value theorem. Derivatives; inverse and implicit function theorems, maxima and minima, Lagrange multipliers. Integration; Fubini's theorem, partitions of unity, change of variables. Differential forms. Manifolds in R^n; integration on manifolds; Stokes' theorem for differential forms and classical versions.","MAT157Y1/MAT157Y5, MAT247H1/MAT247H5",,The Physical and Mathematical Universes (5),Science
MAT267H1 - Advanced Ordinary Differential Equations,"A theoretical course on Ordinary Differential Equations. First-order equations: separable equations, exact equations, integrating factors. Variational problems, Euler-Lagrange equations. Linear equations and first-order systems. Fundamental matrices, Wronskians. Non-linear equations. Existence and uniqueness theorems. Method of power series. Elementary qualitative theory; stability, phase plane, stationary points. Oscillation theorem, Sturm comparison. Applications in mechanics, physics, chemistry, biology and economics.","MAT157Y1/MAT157Y5, MAT247H1/MAT247H5",,The Physical and Mathematical Universes (5),Science
MAT271H1 - Insights from Mathematics,This breadth course is accessible to students with limited mathematical background. Various mathematical techniques will be illustrated with examples from humanities and social science disciplines. Some of the topics will incorporate user friendly computer explorations to give participants the feel of the subject without requiring skill at calculations.|Note: This course cannot be used to satisfy requirements of program in the math department.,,,The Physical and Mathematical Universes (5),Science
MAT282H1 - Topics in Mathematics,"A course in mathematics on a topic outside the current undergraduate offerings. For information on the specific topic to be studied and possible additional prerequisites, go to http://www.math.toronto.edu/cms/current-students-ug/",1.0 MAT credit at the 100-level. Possible additional topic-specific prerequisites.,,The Physical and Mathematical Universes (5),Science
MAT295H1 - Independent Reading in Mathematics,Independent study under the direction of a faculty member.  Topic must be outside undergraduate offerings.  Similar workload to a 36L course.  Not eligible for CR/NCR option.,Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.,,The Physical and Mathematical Universes (5),Science
MAT296H1 - Independent Reading in Mathematics,Independent study under the direction of a faculty member. Topic must be outside undergraduate offerings. Workload equivalent to a 36L course. Not eligible for CR/NCR option.,Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.,,The Physical and Mathematical Universes (5),Science
MAT297Y1 - Research Project in Mathematics,Independent research under the direction of a faculty member. Similar workload to a 72L course. Not eligible for CR/NCR option.,Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor,,The Physical and Mathematical Universes (5),Science
MAT299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,,Science
MAT301H1 - Groups and Symmetries,"Congruences and fields. Permutations and permutation groups. Linear groups. Abstract groups, homomorphisms, subgroups. Symmetry groups of regular polygons and Platonic solids, wallpaper groups. Group actions, class formula. Cosets, Lagrange theorem. Normal subgroups, quotient groups. Classification of finitely generated abelian groups. Emphasis on examples and calculations.","MAT224H1/MAT247H1, MAT235Y1/MAT237Y1, MAT246H1/MAT157Y1/CSC236H1/CSC240H1. (These Prerequisites will be waived for students who have MAT257Y1.) For FASE students, MAT185H, MAT194H, MAT195H.",,The Physical and Mathematical Universes (5),Science
MAT309H1 - Introduction to Mathematical Logic,Predicate calculus. Relationship between truth and provability; Gödel's completeness theorem. First order arithmetic as an example of a first-order system. Gödel's incompleteness theorem; outline of its proof. Introduction to recursive functions.,"MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5, MAT235Y1/MAT235Y5/(MAT232H5, MAT236H5/MATB41H3, MATB42H3)/MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5, MAT246H1/MAT157Y1/CSC236H1/CSC240H1 (These Prerequisites will be waived for students who have MAT257Y1)",,The Physical and Mathematical Universes (5),Science
MAT315H1 - Introduction to Number Theory,"Elementary topics in number theory: arithmetic functions; polynomials over the residue classes modulo m, characters on the residue classes modulo m; quadratic reciprocity law, representation of numbers as sums of squares.","(MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5, MAT235Y1/MAT235Y5/(MAT232H5, MAT236H5)/(MATB41H3, MATB42H3)/MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5, MAT246H1/CSC236H1/CSC240H1)/MAT157Y1/MAT157Y5/MAT247H1/MAT247H5",,The Physical and Mathematical Universes (5),Science
MAT327H1 - Introduction to Topology,"Metric spaces, topological spaces and continuous mappings; separation, compactness, connectedness. Fundamental group and covering spaces. Brouwer fixed-point theorem. Students in the math specialist program wishing to take additional topology courses are advised to obtain permission to take MAT1300H, MAT1301H.","MAT157Y1/MAT157Y5/(MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5, MAT246H1/MAT157Y1 and permission of the instructor)",,The Physical and Mathematical Universes (5),Science
MAT329Y1 - Concepts in Elementary Mathematics,"This course is aimed at students intending to become elementary school teachers. Emphasis is placed on the formation and development of fundamental reasoning and learning skills required to understand and to teach mathematics at the elementary level. Topics may include: Problem Solving and Strategies, Sets and Elementary Logic, Numbers and Elements of Number Theory, Introductory Probability and Fundamentals of Geometry.|The course may include an optional practicum in school classrooms.",(MAT137Y1/MAT157Y1)/MAT138H1/(MAT223H1/MAT240H1)/(MAT246H1/MAT157Y1) and any 5.0 credits with a CGPA of at least 2.5,,The Physical and Mathematical Universes (5),Science
MAT332H1 - Introduction to Graph Theory,"This course will explore the following topics: Graphs, subgraphs, isomorphism, trees, connectivity, Euler and Hamiltonian properties, matchings, vertex and edge colourings, planarity, network flows and strongly regular graphs. Participants will be encouraged to use these topics and execute applications to such problems as timetabling, tournament scheduling, experimental design and finite geometries.",MAT224H1/MATB24H3/MAT224H5/MAT247H1/MAT247H5,,The Physical and Mathematical Universes (5),Science
MAT334H1 - Complex Variables,"Theory of functions of one complex variable, analytic and meromorphic functions. Cauchy's theorem, residue calculus, conformal mappings, introduction to analytic continuation and harmonic functions.","MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5, MAT235Y1/MAT235Y5/(MAT232H5, MAT236H5)/(MATB41H3, MATB42H3)/MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5/MAT257Y1",,The Physical and Mathematical Universes (5),Science
"MAT335H1 - Chaos, Fractals and Dynamics","An elementary introduction to a modern and fast-developing area of mathematics. One-dimensional dynamics: iterations of quadratic polynomials. Dynamics of linear mappings, attractors. Bifurcation, Henon map, Mandelbrot and Julia sets. History and applications.","MAT137Y1/(MATA30H3, MATA31H3, MATA37H3)/MAT137Y5/MAT157Y1/MAT157Y5/MAT235Y1/MAT235Y5/(MAT232H5, MAT236H5)/(MATB41H3, MATB42H3)/MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5, MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5",,The Physical and Mathematical Universes (5),Science
MAT336H1 - Elements of Analysis,"This course provides the foundations of analysis and rigorous calculus for students who will take subsequent courses where these mathematical concepts are central of applications, but who have only taken courses with limited proofs. Topics include topology of Rn, implicit and inverse function theorems and rigorous integration theory.","MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5, MAT235Y1/MAT235Y5/(MAT232H5, MAT236H5)/(MATB41H3, MATB42H3)/MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5; (for FASE students, MAT185H, MAT195H/ESC195H)",,The Physical and Mathematical Universes (5),Science
MAT337H1 - Introduction to Real Analysis,"Construction of Real Numbers. Metric spaces; compactness and connectedness. Sequences and series of functions, power series; modes of convergence. Interchange of limiting processes; differentiation of integrals. Function spaces; Weierstrass approximation; Fourier series. Contraction mappings; existence and uniqueness of solutions of ordinary differential equations. Countability; Cantor set; Hausdorff dimension.","MAT224H1/MATB24H3/MAT224H5/MAT247H1/MAT247H5, MAT235Y1/MAT235Y5/(MAT232H5, MAT236H5)/(MATB41H3, MATB42H3)/MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5, MAT246H1/MAT157Y1; NOTE: These Prerequisites will be waived for students who have MAT257Y1",,The Physical and Mathematical Universes (5),Science
MAT344H1 - Introduction to Combinatorics,"Basic counting principles, generating functions, permutations with restrictions. Fundamentals of graph theory with algorithms; applications (including network flows). Combinatorial structures including block designs and finite geometries.",MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5,,The Physical and Mathematical Universes (5),Science
"MAT347Y1 - Groups, Rings and Fields","Groups, subgroups, quotient groups, Sylow theorems, Jordan-Hölder theorem, finitely generated abelian groups, solvable groups. Rings, ideals, Chinese remainder theorem; Euclidean domains and principal ideal domains: unique factorization. Noetherian rings, Hilbert basis theorem. Finitely generated modules. Field extensions, algebraic closure, straight-edge and compass constructions. Galois theory, including insolvability of the quintic.",MAT257Y1/(85% in MAT247H1/MAT247H5),,The Physical and Mathematical Universes (5),Science
MAT351Y1 - Partial Differential Equations,"This is a first course in Partial Differential Equations, intended for Mathematics students with interests in analysis, mathematical physics, geometry, and optimization. The examples to be discussed include first-order equations, harmonic functions, the diffusion equation, the wave equation, Schrodinger's equation, and eigenvalue problems. In addition to the classical representation formulas for the solutions of these equations, there are techniques that apply more broadly: the notion of well-posedness, the method of characteristics, energy methods, maximum and comparison principles, fundamental solutions, Green's functions, Duhamel's principle, Fourier series, the min-max characterization of eigenvalues, Bessel functions, spherical harmonics, and distributions. Nonlinear phenomena such as shock waves and solitary waves are also introduced.","MAT257Y1/85% in MAT237Y1, MAT267H1",,The Physical and Mathematical Universes (5),Science
MAT354H1 - Complex Analysis I,"Complex numbers, the complex plane and Riemann sphere, Möbius transformations, elementary functions and their mapping properties, conformal mapping, holomorphic functions, Cauchy's theorem and integral formula. Taylor and Laurent series, maximum modulus principle, Schwarz' lemma, residue theorem and residue calculus.|Note: Students may take MAT354H1 after they complete MAT334H1, however, in this case, MAT334H1 will count as 'extra'; it will not count as credit towards program requirements.",MAT257Y1,,The Physical and Mathematical Universes (5),Science
MAT357H1 - Foundations of Real Analysis,"Function spaces; Arzela-Ascoli theorem, Weierstrass approximation theorem, Fourier series. Introduction to Banach and Hilbert spaces; contraction mapping principle, fundamental existence and uniqueness theorem for ordinary differential equations. Lebesgue integral; convergence theorems, comparison with Riemann integral, L^p spaces. Applications to probability.",MAT257Y1/(MAT327H1 and permission of instructor),,The Physical and Mathematical Universes (5),Science
MAT363H1 - Geometry of Curves and Surfaces,Curves and surfaces in 3-spaces. Frenet formulas. Curvature and geodesics. Gauss map. Minimal surfaces. Gauss-Bonnet theorem for surfaces. Surfaces of constant curvature.,"MAT224H1/MATB24H3/MAT224H5/MAT247H1/MAT247H5, MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5/MAT257Y1 (MAT257Y1 can be taken concurrently). For FASE students, MAT185H, MAT194H, MAT195H, AER210H.",,The Physical and Mathematical Universes (5),Science
