Course Names,descriptions,prereq,Breadth requirements,distribution requirements
PHY199H1 - Dark Matter and Dark Energy are the New Black,"It is now 90 years since astronomers found the first evidence for a form of matter that wasn't part of the stars in our galaxies, but rather is ""dark"" and has a gravitational attraction to ordinary matter. Other lines of evidence lead us to believe that there is six times more dark matter than the ordinary matter we are familiar with. Despite this, we have no credible, direct evidence for what this dark matter might be. It is one of the biggest puzzles in particle physics and cosmology. In the last decade, we have also discovered that something else is going on – the universe appears to be filled with ""dark energy"" that causes the expansion of our universe to speed up instead of slowdown. We will discuss what we know about the hypotheses of dark matter and dark energy, and the debates about what might really be going on. Are we seeing science in crisis, with a revolution just around the corner, or is this just the ""normal science"" talked about by Kuhn and other philosophers of science? Participants will be expected to participate in seminar-style discussions, as well as take the lead on at least one topic of discussion. Restricted to first-year students. Not eligible for CR/NCR option.","No prior experience with physical science will be required, but familiarity with Grade 10 mathematics will be assumed.",The Physical and Mathematical Universes (5),Science
PHY202H1 - The Physics of Science Fiction and Gaming,"The physics of time travel, teleportation, levitation, invisibility, special effects, and other physics related topics found in literature, film, and gaming. The course will analyze the realism of physical phenomena in these media, and consider the impact of these concepts on science and society.|PHY202H1 is primarily intended as a Breadth Requirement course for students in the Humanities and Social Sciences.",,The Physical and Mathematical Universes (5),Science
PHY205H1 - The Physics of Everyday Life,An introduction to the physics of everyday life. This conceptual course looks at everyday objects to learn about the basis for our modern technological world. Topics may include anything from automobiles to weather.|PHY205H1 is primarily intended as a Breadth Requirement course for students in the Humanities and Social Sciences.,,The Physical and Mathematical Universes (5),Science
PHY207H1 - The Physics of Music,"An online course intended to provide non-science students with a basic understanding of the science behind sound and music. Topics include oscillations, waves, human hearing and perception of music, musical scales, musical instruments, recording and storing sound digitally, producing sound and broadcasting. Lectures will be delivered via the web and mandatory tutorials will require live webinar participation. The final exam will require attendance on the St. George campus.",,The Physical and Mathematical Universes (5),Science
PHY224H1 - Practical Physics I,"Develops the core practical experimental and computational skills necessary to do physics. Students tackle simple physics questions involving mathematical models, computational simulations and solutions, experimental measurements, data and uncertainty analysis.","PHY132H1/PHY152H1, (MAT135H1,MAT136H1)/MAT137Y1/MAT157Y1",The Physical and Mathematical Universes (5),Science
PHY231H1 - Physics of Living Systems,"An introductory course for students interested in understanding the physical phenomena occurring in biological systems and the applications of physics in life sciences. Topics may include physical processes inside living cells and systems, medical physics and imaging.","PHY132H1/PHY152H1,(MAT135H1,MAT136H1)/MAT137Y1/MAT157Y1",The Physical and Mathematical Universes (5),Science
PHY250H1 - Electricity and Magnetism,"An introductory course in Electromagnetism. Topics include: Point charges, Coulomb’s law, electrostatic field and potential, Gauss's Law, conductors, electrostatic energy, magnetostatics, Ampere's Law, Biot-Savart Law, the Lorentz Force Law, Faraday’s Law, Maxwell's equations in free space.","PHY132H1/PHY152H1, (MAT135H1,MAT136H1)/MAT137Y1/MAT157Y1",The Physical and Mathematical Universes (5),Science
PHY252H1 - Thermal Physics,"The quantum statistical basis of macroscopic systems; definition of entropy in terms of the number of accessible states of a many particle system leading to simple expressions for absolute temperature, the canonical distribution, and the laws of thermodynamics. Specific effects of quantum statistics at high densities and low temperatures.","PHY132H1/PHY152H1, (MAT135H1,MAT136H1)/MAT137Y1/MAT157Y1",The Physical and Mathematical Universes (5),Science
PHY254H1 - Classical Mechanics,"The course analyzes the linear, nonlinear and chaotic behaviour of classical mechanical systems such as harmonic oscillators, rotating bodies, and central field systems. The course will develop the analytical and numerical tools to solve such systems and determine their basic properties. The course will include mathematical analysis, numerical exercises using Python, and participatory demonstrations of mechanical systems.","PHY132H1/PHY152H1 (PHY152H1 recommended), (MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",The Physical and Mathematical Universes (5),Science
PHY256H1 - Introduction to Quantum Physics,Failures of classical physics; the Quantum revolution; Stern-Gerlach effect; harmonic oscillator; uncertainty principle; interference packets; scattering and tunneling in one-dimension.,"PHY132H1/PHY152H1, (MAT135H1,MAT136H1)/MAT137Y1/MAT157Y1",The Physical and Mathematical Universes (5),Science
PHY299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,Science
PHY324H1 - Practical Physics II,"A modular practical course that further develops the core experimental and computational skills necessary to do physics. Modules include: experimental skills building, computational tools in data and uncertainty analysis, and independent experimental projects.",PHY224H1,The Physical and Mathematical Universes (5),Science
PHY331H1 - Introduction to Biological Physics,"A course for students interested in a deeper understanding of physical phenomena occurring in biological systems. Thermodynamics, diffusion, entropic forces, fluids, biological applications.","PHY252H1/CHM222H1/CHM225Y1, PHY231H1/PHY250H1/PHY254H1/PHY256H1",The Physical and Mathematical Universes (5),Science
PHY350H1 - Electromagnetic Theory,"This course builds upon the knowledge and tools developed in PHY250H1. Topics include: solving Poisson and Laplace equations via method of images and separation of variables, multipole expansion for electrostatics, atomic dipoles and polarizability, polarization in dielectrics, multipole expansion in magnetostatics, magnetic dipoles, magnetization in matter, Maxwell’s equations in matter, conservation laws in electrodynamics, and electromagnetic waves.","MAT223H1/MAT240H1, MAT244H1/MAT267H1, MAT235Y1/MAT237Y1/MAT257Y1, PHY250H1, PHY254H1",The Physical and Mathematical Universes (5),Science
PHY354H1 - Advanced Classical Mechanics,"Symmetry and conservation laws, stability and instability, generalized coordinates, Hamilton's principle, Hamilton's equations, phase space, Liouville's theorem, canonical transformations, Poisson brackets, Noether's theorem.","MAT244H1/MAT267H1, PHY254H1",The Physical and Mathematical Universes (5),Science
PHY356H1 - Quantum Mechanics I,The general structure of wave mechanics; eigenfunctions and eigenvalues; operators; orbital angular momentum; spherical harmonics; central potential; separation of variables; hydrogen atom; Dirac notation; operator methods; harmonic oscillator and spin.,"MAT223H1/MAT240H1, PHY250H1, PHY256H1/(CHM222H1,CHM223H1)/CHM225Y1, (PHY256H1 recommended)",The Physical and Mathematical Universes (5),Science
PHY357H1 - Nuclear and Particle Physics,"The subatomic particles; nuclei, baryons and mesons, quarks, leptons and bosons; the structure of nuclei and hadronic matter; symmetries and conservation laws; fundamental forces and interactions, electromagnetic, weak, and strong; a selection of other topics: CP violation, nuclear models, standard model, proton decay, supergravity, nuclear and particle astrophysics. This course is not a prerequisite for any PHY400-level course.",PHY356H1,The Physical and Mathematical Universes (5),Science
"PHY358H1 - Atoms, Molecules and Solids","Quantum theory of atoms, molecules, and solids; variational principle and perturbation theory; hydrogen and helium atoms; exchange and correlation energies; multielectron atoms; simple molecules; bonding and antibonding orbitals; rotation and vibration of molecules; crystal binding; electron in a periodic potential; reciprocal lattice; Bloch's theorem; nearly-free electron model; Kronig-Penney model; energy bands; metals, semiconductors, and insulators; Fermi surfaces.",PHY356H1,The Physical and Mathematical Universes (5),Science
PHY365H1 - Quantum Information,"Introduction to quantum computing and other quantum information topics; Quantum states of multi-particle systems; Entanglement, Bell inequalities and Teleportation; Quantum Key Distribution; Quantum Computing Algorithms; Quantum Information Processing Technologies; other applications to metrology and illumination.",PHY256H1/PHY294H1/CHM223H1/ECE330H1 (Students who do not meet these prerequisites are encouraged to contact the Department.),The Physical and Mathematical Universes (5),Science
PHY371Y1 - Supervised Study in Physics,"An individual study program chosen by the student with the advice of, and under the direction of, a staff member. A student may take advantage of this course either to specialize further in a field of interest or to explore interdisciplinary fields not available in the regular syllabus. Consult the department web pages for some possible topics. This course may also be available in the summer. Not eligible for CR/NCR option.",Consult the Physics Associate Chair (Undergraduate Studies),The Physical and Mathematical Universes (5),Science
PHY372H1 - Supervised Study in Physics,"An individual study program chosen by the student with the advice of, and under the direction of, a staff member. A student may take advantage of this course either to specialize further in a field of interest or to explore interdisciplinary fields not available in the regular syllabus. Consult the department web site for some possible topics. This course may also be available in the summer. Not eligible for CR/NCR option.",Consult the Physics Associate Chair (Undergraduate Studies),The Physical and Mathematical Universes (5),Science
PHY385H1 - Introductory Optics,"An introduction to the physics of light. Topics covered include: electromagnetic waves and propagation of light; the Huygens and Fermat principles; geometrical optics and optical instruments; interference of waves and diffraction; polarization; introduction to photons, lasers, and optical fibers.","PHY250H1, PHY254H1",The Physical and Mathematical Universes (5),Science
PHY392H1 - Physics of Climate,This course provides an introduction to climate physics and the earth-atmosphere-ocean system. Topics include solar and terrestrial radiation; global energy balance; radiation laws; radiative transfer; atmospheric structure; convection; the meridional structure of the atmosphere; the general circulation of the atmosphere; the ocean and its circulation; and climate variability.,"PHY250H1/PHY252H1, MAT235Y1/MAT237Y1/MAT257Y1",The Physical and Mathematical Universes (5),Science
PHY396Y0 - Research Topic Abroad,Course credit for research or field studies abroad under the supervision of a faculty member. Not eligible for CR/NCR option.,A minimum of 8.5 credits and no more than 14.0 credits completed,The Physical and Mathematical Universes (5),Science
PHY397Y0 - Exchange Research Project Abroad,Course credit for research or field studies abroad under the supervision of a faculty or staff member from an exchange institution. Consult the Physics Department web pages for information about opportunities. Not eligible for CR/NCR option.,Consult the Physics Associate Chair (Undergraduate Studies),The Physical and Mathematical Universes (5),Science
PHY398H0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,,Science
PHY398Y0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,,,Science
PHY399Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,
PHY405H1 - Electronics Lab,"Electrical circuits, networks and devices are all-pervasive in the modern world. This laboratory course is an introduction to the world of electronics. Students will learn the joys and perils of electronics, by designing, constructing and debugging circuits and devices. The course will cover topics ranging from filters and operational amplifiers to micro-controllers, and will introduce students to concepts such as impedance, transfer functions, feedback and noise.","PHY224H1, PHY250H1. Note that PHY405H1 may be taken in third or fourth year.",The Physical and Mathematical Universes (5),Science
PHY407H1 - Computational Physics,"This is an introduction to scientific computing in physics. Students will be introduced to computational techniques used in a range of physics research areas. By considering select physics topics, students will learn basic computational methods for function analysis (computing integrals and derivatives; finding roots and extrema), resolution of linear and non-linear equations, eigenvalue problems, Fourier analysis, ODEs, PDEs and Monte Carlo techniques. As the course progresses, students will develop their skills at debugging, solution visualization, computational efficiency and accuracy. The course is based on python and will involve working on a set of computational labs throughout the semester as well as a final project.",PHY224H1/PHY254H1,The Physical and Mathematical Universes (5),Science
PHY408H1 - Time Series Analysis,"The analysis of digital sequences; filters; the Fourier Transform; windows; truncation effects; aliasing; auto and cross-correlation; stochastic processes, power spectra; least squares filtering; application to real data series and experimental design.",PHY407H1/PHY224H1/PHY250H1/PHY254H1/PHY324H1. PHY408H1 may be taken in third or fourth year,The Physical and Mathematical Universes (5),Science
PHY424H1 - Advanced Physics Laboratory,"Experiments in this course are designed to form a bridge to current experimental research. A wide range of exciting experiments relevant to modern research in physics is available. The laboratory is normally open from 9 a.m. - 4 p.m., Monday to Friday.","PHY250H1, PHY256H1, PHY324H1",The Physical and Mathematical Universes (5),Science
PHY426H1 - Advanced Practical Physics I,"This course is a continuation of PHY424H1, but students have more freedom to progressively focus on specific areas of physics, do extended experiments, projects, or computational modules.",PHY424H1,The Physical and Mathematical Universes (5),Science
PHY428H1 - Advanced Practical Physics II,"This course is a continuation of PHY426H1, but students have more freedom to progressively focus on specific areas of physics, do extended experiments, projects, or computational modules.",PHY426H1,The Physical and Mathematical Universes (5),Science
PHY429H1 - Advanced Practical Physics III,"This course is a continuation of PHY428H1, but students have more freedom to progressively focus on specific areas of physics, do extended experiments, projects, or computational modules.",PHY428H1,The Physical and Mathematical Universes (5),Science
PHY431H1 - Topics in Biological Physics,An introduction to the physical phenomena involved in the biological processes of living cells and complex systems. Models based on physical principles applied to cellular processes will be developed. Biological computational modeling will be introduced.,"PHY250H1, PHY252H1/CHM222H1/CHM225Y1, PHY331H1",The Physical and Mathematical Universes (5),Science
PHY450H1 - Relativistic Electrodynamics,"An introduction to relativistic electrodynamics. Topics include: special relativity, four-vectors and tensors, relativistic dynamics from the Principle of Stationary Action and Maxwell's equations in Lorentz covariant form. Noether's theorem for fields and the energy-momentum tensor. Fields of moving charges and electromagnetic radiation: retarded potential, Lienard-Wiechert potentials, multipole expansion, radiation reaction.",PHY350H1,The Physical and Mathematical Universes (5),Science
PHY452H1 - Statistical Mechanics,"Classical and quantum statistical mechanics of noninteracting systems; the statistical basis of thermodynamics; ensembles, partition function; thermodynamic equilibrium; stability and fluctuations; formulation of quantum statistics; theory of simple gases; ideal Bose and Fermi systems.","PHY252H1, PHY356H1",The Physical and Mathematical Universes (5),Science
PHY454H1 - Continuum Mechanics,"The theory of continuous matter, including solid and fluid mechanics. Topics include the continuum approximation, dimensional analysis, stress, strain, the Euler and Navier-Stokes equations, vorticity, waves, instabilities, convection and turbulence.","PHY254H1,  MAT235Y1/ MAT237Y1/ MAT257Y1,  APM346H1/ APM351Y1",The Physical and Mathematical Universes (5),Science
PHY456H1 - Quantum Mechanics II,Quantum dynamics in Heisenberg and Schrödinger pictures; WKB approximation; variational method; time-independent perturbation theory; spin; addition of angular momentum; time-dependent perturbation theory; scattering.,PHY356H1,The Physical and Mathematical Universes (5),Science
PHY460H1 - Nonlinear Physics,"The theory of nonlinear dynamical systems with applications to many areas of physics. Topics include stability, bifurcations, chaos, universality, maps, strange attractors and fractals. Geometric, analytical and computational methods will be developed.",PHY354H1,The Physical and Mathematical Universes (5),Science
PHY471Y1 - Supervised Study in Physics,"An individual study program chosen by the student with the advice of, and under the direction of, a staff member. A student may take advantage of this course either to specialize further in a field of interest or to explore interdisciplinary fields not available in the regular syllabus. Consult the department web pages for some possible topics. This course may also be available in the summer. Not eligible for CR/NCR option.",Consult the Physics Associate Chair (Undergraduate Studies).,The Physical and Mathematical Universes (5),Science
PHY472H1 - Supervised Study in Physics,"An individual study program chosen by the student with the advice of, and under the direction of, a staff member. A student may take advantage of this course either to specialize further in a field of interest or to explore interdisciplinary fields not available in the regular syllabus. Consult the department web pages for some possible topics. This course may also be available in the summer. Not eligible for CR/NCR option.",Consult the Physics Associate Chair (Undergraduate Studies).,The Physical and Mathematical Universes (5),Science
PHY478H1 - Undergraduate Research Project,"An individual experimental or theoretical research project undertaken with the advice of, and under the direction of, a staff member. A student may take advantage of this course either to specialize further in a field of interest or to explore independent research. Consult the department web site for some possible topics. This course may also be available in the summer. Not eligible for CR/NCR option.",Consult the Physics Associate Chair (Undergraduate Studies),The Physical and Mathematical Universes (5),Science
PHY479Y1 - Undergraduate Research Project,"An individual experimental or theoretical research project undertaken with the advice of, and under the direction of, a faculty member. A student may take advantage of this course either to specialize further in a field of interest or to explore independent research. Consult the department web site for possible topics. This course may also be available in the summer. Not eligible for CR/NCR option.",Consult the Physics Associate Chair (Undergraduate Studies),The Physical and Mathematical Universes (5),Science
PHY483H1 - Relativity Theory I,"Basis of Einstein's theory: differential geometry, tensor analysis, gravitational physics leading to General Relativity. Theory starting from solutions of Schwarzschild, Kerr, etc.","PHY350H1, PHY354H1",The Physical and Mathematical Universes (5),Science
PHY484H1 - Relativity Theory II,"Applications of General Relativity to Astrophysics and Cosmology. Introduction to black holes, large-scale structure of the universe.",PHY483H1,The Physical and Mathematical Universes (5),Science
PHY485H1 - Laser Physics,"This course, which is intended to be an introduction to research in optical sciences, covers the statistics of optical fields and the physics of lasers. Topics include the principles of laser action, laser cavities, properties of laser radiation and its propagation, the diffraction of light, and spatial and temporal coherence.","PHY350H1, PHY358H1, PHY385H1/ECE318H1",The Physical and Mathematical Universes (5),Science
PHY487H1 - Condensed Matter Physics,"Introduction to foundational concepts of condensed matter physics in the solid state. Main topics to be covered: crystal structure, reciprocal lattice, x-ray diffraction, crystal binding, lattice vibrations, phonons and electrons in solids, Fermi surfaces, energy bands, semiconductors and magnetism. Special topics to be surveyed: superconductivity and nanoelectronic transport.","PHY250H1, PHY252H1, PHY356H1",The Physical and Mathematical Universes (5),Science
PHY489H1 - Introduction to High Energy Physics,"This course introduces the basics of fundamental particles and the strong, weak and electromagnetic forces that govern their interactions in the Standard Model of particle physics. Topics include relativistic kinematics, conservation laws, particle decays and scattering processes, with an emphasis on the techniques used for calculating experimental observables.","PHY354H1, PHY356H1",The Physical and Mathematical Universes (5),Science
PHY491H1 - Current Interpretations of Quantum Mechanics,"Different interpretations of quantum mechanics are presented and discussed, comparing and contrasting the various approaches to understanding the formalism of the theory.  We begin with “textbook quantum mechanics” and then discuss the Copenhagen view, operationalist quantum mechanics, hidden variable theories, Bohm-de Broglie theory, consistent histories, relational quantum mechanics, relative state approaches (many minds and many worlds), QBism, the interactional interpretation, and collapse theories.",PHY456H1,The Physical and Mathematical Universes (5),Science
PHY492H1 - Advanced Atmospheric Physics,"A preparatory course for research in experimental and theoretical atmospheric physics. Content will vary from year to year. Themes may include techniques for remote sensing of the Earth's atmosphere and surface; theoretical atmosphere-ocean dynamics; the physics of clouds, precipitation, and convection in the Earth's atmosphere.","PHY250H1, MAT235Y1/MAT237Y1/MAT257Y1",The Physical and Mathematical Universes (5),Science
